이름,유형,도로명주소,지번주소,전화번호,홈페이지,체크인/아웃시간,별점,리뷰 개수,위도,경도
디포레카라반파크,"캠핑,야영장",제주 제주시 구좌읍 송당6길 78-1,송당리 1901-2,064-784-2417,http://dforetcaravan.kr,미제공,4.68,283,33.4649072540438,126.780911619736
다인리조트,"콘도,리조트",제주 제주시 애월읍 애월해안로 400-9,고내리 79-8,064-799-2600,http://www.dyneresort.co.kr/,미제공,4.19,938,33.4714908987742,126.351156220975
곽지몬스터캠핑,"캠핑,야영장",제주 제주시 애월읍 일주서로 6083-3,곽지리 1385,0507-1398-8608,https://www.instagram.com/gwakji_monster,미제공,0.0,15,33.4547075277334,126.308042981709
구옥주택,게스트하우스,제주 서귀포시 남원읍 위미중앙로300번길 24 구옥주택 게스트하우스,위미리 878-1,0507-1357-1674,https://blog.naver.com/guok_house,입실 17:00 퇴실 11:00,0.0,95,33.2722307190774,126.675888997327
비치보이스,펜션,제주 제주시 애월읍 금성5길 42-1,금성리 477,0507-1354-7849,https://www.instagram.com/beachboys_jeju,입실 15:00 퇴실 11:00,0.0,215,33.4479905318218,126.300729964945
제주파인비치펜션,펜션,제주 서귀포시 남원읍 태위로 976-10,태흥리 385,0507-1402-2918,http://www.jejupinebeach.kr,입실 15:00 퇴실 11:00,4.63,368,33.2875516836087,126.748426961662
별헤는밤글램핑,펜션,제주 제주시 애월읍 광상로 348,유수암리 2270-2,0507-1408-7802,http://www.애월글램핑.kr,미제공,4.3,350,33.4433625402983,126.396768951655
하이까미,펜션,제주 제주시 한경면 신창1길 5-2 하이까미,신창리 381,0507-1391-0408,https://www.instagram.com/hi_kami_stay,입실 15:00 퇴실 11:00,0.0,11,33.347322990542,126.18188601947
빨간풍차펜션,펜션,제주 제주시 구좌읍 김녕남2길 36,김녕리 3100,010-6425-1645,http://www.redwindmill.co.kr/,미제공,4.18,363,33.5485337378695,126.742382043075
선셋코스트,"캠핑,야영장",제주 서귀포시 대정읍 노을해안로 232,영락리 1580-2,010-4741-7064,http://www.sunsetcoast.kr,미제공,0.0,8,33.2459635743752,126.205067618998
제주캠핑카라반,"캠핑,야영장",제주 서귀포시 표선면 표선동서로 324-18,표선리 441,064-787-8202,http://www.jejucampingcaravan.com/,미제공,4.13,256,33.3301174422122,126.83867170584
에어그라운드,"캠핑,야영장",제주 서귀포시 남원읍 남태해안로 439,태흥리 1145-1,010-9858-4433,http://instagram.com/air_ground,입실 16:30 퇴실 11:00,0.0,95,33.2822243231773,126.746707071505
스테이오늘,민박,제주 제주시 한경면 용당1길 17-1,용수리 1418,010-8609-9797,https://www.instagram.com/p/CXr9puuJAIV/?utm_medium=copy_link,미제공,0.0,52,33.3338633215534,126.178880510143
하늘만큼 땅만큼 펜션,펜션,제주 제주시 애월읍 가문동상4길 5,하귀2리 2669,0507-1494-8924,https://www.instagram.com/jeju_skyland/,입실 15:00 퇴실 11:00,0.0,46,33.4833025624025,126.393911930053
선양빌리지돔,펜션,제주 제주시 조천읍 와흘로 350,와흘리 262,010-5168-9001,http://www.sunyangvillage.co.kr,입실 15:00 퇴실 11:00,3.87,76,33.4746442757745,126.643720289491
제주노을채,펜션,제주 제주시 한경면 한원복3길 14-2 제주노을채,두모리 604-2,0507-1332-8961,https://blog.naver.com/jejunoeulchae,미제공,0.0,146,33.3410639021522,126.201154031918
에코그린캠핑장,"캠핑,야영장",제주 제주시 애월읍 중산간서로 5587,납읍리 1883,0507-1322-8649,http://ecogreencamping.com/,입실 15:00 퇴실 11:00,0.0,81,33.44466980568,126.333991494187
무거 오션뷰펜션카라반,"캠핑,야영장",제주 제주시 조천읍 조함해안로 356,신흥리 15,미제공,http://www.moogerpension.com/,미제공,3.54,71,36.5988060733531,127.291926710944
어라운드폴리,"캠핑,야영장",제주 서귀포시 성산읍 서성일로 433,난산리 2682,0507-1433-6226,http://www.aroundfollie.com/,입실 16:00 퇴실 11:00,4.74,596,33.4153945018902,126.835772867645
오크라 리조트,펜션,제주 서귀포시 표선면 번영로 3189,하천리 1415,064-805-9922,http://www.oakraresort.com,입실 02:00 퇴실 11:00,4.74,68,33.3640215945856,126.820212350161
글로리아펜션,펜션,제주 제주시 애월읍 고내북동길 4,고내리 577,064-799-7773,https://www.instagram.com/explore/tags/%EC%95%A0%EC%9B%94%EA%B8%80%EB%A1%9C%EB%A6%AC%EC%95%84%ED%8E%9C%EC%85%98/,입실 16:00 퇴실 11:00,4.46,157,33.4670376469252,126.339335186404
하우스말로,펜션,제주 제주시 조천읍 남조로 1785-12,교래리 619,0507-1323-6305,https://housemalloh.modoo.at,입실 16:00 퇴실 11:00,0.0,35,33.4274397714774,126.672266498726
삼춘네하우스,펜션,제주 서귀포시 대정읍 중산간서로 2366 독채,구억리 971,0507-1423-0853,https://unclescampinghouse.modoo.at/,입실 15:00 퇴실 11:00,0.0,47,33.2738931488732,126.280006942067
위미리867,펜션,제주 서귀포시 남원읍 위미중앙로300번길 40 1동,위미리 867,0507-1326-0607,https://pension.onda.me/bp/136428/calendar,미제공,0.0,5,33.2723651882769,126.6775672314
판포따숨,펜션,제주 제주시 한경면 판포4길 41-17 판포따숨,판포리 2816,0506-365-5926,https://www.instagram.com/dda_soom_jeju,입실 15:00 퇴실 11:00,0.0,18,33.3636303793973,126.203148653383
귤빛캠핑장,"캠핑,야영장",제주 제주시 조천읍 함와로 428,대흘리 172,064-782-0110,http://www.jeju-camping.com/,미제공,0.0,112,33.5042520728473,126.673805985988
야크마을 제주,"캠핑,야영장",제주 서귀포시 색달중앙로 162,색달동 1045,064-760-1951,http://yakmaeul.com,입실 15:00 퇴실 11:00,0.0,17,33.2700108365383,126.416790192707
어라운드폴리캠프,"캠핑,야영장",제주 서귀포시 성산읍 서성일로 431,난산리 2682-2,0507-1433-7079,https://aroundfollie.com,미제공,4.56,89,33.4150760535005,126.835570270358
금능으뜸원해변캠핑장,"캠핑,야영장",[],제주 제주시 한림읍 협재리 2689-1,미제공,미제공,미제공,0.0,18,33.3893102581714,126.235006737671
제주오션클라우드,호텔,제주 서귀포시 천제연로178번길 26,중문동 2330-9,미제공,http://www.oceancloud.co.kr/sub1.php,미제공,0.0,78,33.2495126932937,126.423252091258
노블레스호텔,모텔,제주 제주시 연동8길 31,연동 278-1,064-748-1500,http://27942.ministay.me/,미제공,4.3,28,33.483028220335,126.490751114453
함덕캠핑스타카라반,"캠핑,야영장",[],제주 제주시 조천읍 함덕리 산4,064-782-0053,https://jejucampingstar.modoo.at,미제공,3.61,38,33.5436328728547,126.675875251184
키즈펜션설렘,펜션,제주 제주시 애월읍 광령남6길 13 1층,광령리 2949,0507-1352-6038,https://jujethrill.modoo.at,입실 16:00 퇴실 11:00,0.0,4,33.4474105989686,126.427774061088
시아하우스,펜션,제주 제주시 한림읍 협재로 210-97,협재리 813,0507-1328-4610,https://www.instagram.com/siahouse1004,입실 16:00 퇴실 11:00,0.0,8,33.3731364837688,126.250633989796
다인리조트카라반,"캠핑,야영장",[],제주 제주시 애월읍 고내리 79-27,미제공,http://www.dyneresort.co.kr/index.php,미제공,0.0,8,33.4718844269646,126.351067440013
드르쿰다 in 성산 카라반,"캠핑,야영장",제주 서귀포시 성산읍 섭지코지로25번길 64,고성리 372-1,064-901-2197,https://delekoomdainsungsan.modoo.at/,미제공,4.38,103,33.4599392749,126.417522692757
메이더카라반,"캠핑,야영장",제주 제주시 구좌읍 일주동로 1622,동복리 1651-1,064-783-2200,미제공,미제공,0.0,16,33.5524949881086,126.705963319012
비젠빌리지,펜션,제주 제주시 구좌읍 하도9길 72 비젠빌리지,하도리 907,010-8242-8222,https://youtube.com/@analogtownwiesenvillage763,입실 16:00 퇴실 11:00,4.76,611,33.51170899852,126.890659841346
블랑제이드,펜션,제주 서귀포시 안덕면 일주서로 2015-1 단독주택,사계리 1014-1,0507-1324-7147,https://site.onda.me/135408,입실 16:00 퇴실 11:00,0.0,24,33.2502047287708,126.302398587287
중문카라반펜션,펜션,제주 서귀포시 이어도로 81,대포동 2530,064-739-8131,미제공,미제공,0.0,6,33.2382988770557,126.431820517893
쇠소깍카라반,"캠핑,야영장",제주 서귀포시 칠십리로 638,하효동 1213-3,미제공,http://jejusoesoggak.com,미제공,0.0,1,33.2495017803676,126.614475455481
파인비치카라반,펜션,[],제주특별자치 서귀포시 남원읍 태흥리 610,미제공,미제공,입실 16:00 퇴실 11:00,0.0,2,33.2874183816235,126.748585047807
삼춘민박,펜션,제주 제주시 애월읍 하귀8길 23-14,하귀1리 462-19,0507-1361-4775,미제공,미제공,0.0,203,33.4879708840814,126.410792519664
마레보리조트카라반,"캠핑,야영장",제주 제주시 애월읍 신엄안3길 135,고내리 45-1,미제공,미제공,미제공,0.0,5,33.470873558297,126.354189997076
벤촌카라반,"캠핑,야영장",[],제주 서귀포시 성산읍 온평리 847,미제공,미제공,미제공,0.0,0,33.408174723723,126.90197703851
제주도 게스트하우스파티 스테이블,게스트하우스,"제주 서귀포시 안덕면 사계북로 109 1층, 2층, 3층",사계리 1586-1,0507-1414-7783,https://stable.modoo.at,입실 18:00 퇴실 12:00,0.0,2253,33.2369111316469,126.299397385206
제주도게스트하우스파티 사교장,게스트하우스,"제주 제주시 중앙로14길 28 2층, 3층",삼도이동 913-4,0507-1356-8608,https://www.instagram.com/sakyojang,입실 18:00 퇴실 11:00,0.0,792,33.5111816152734,126.521451385636
미도호스텔,게스트하우스,제주 서귀포시 동문동로 13-1 미도호스텔 게스트하우스,서귀동 258-2,0507-1303-7627,https://blog.naver.com/midohostel,입실 16:00 퇴실 11:00,4.51,3823,33.2500621132955,126.566363473091
제주도게스트하우스 파티 간장남들,게스트하우스,제주 서귀포시 안덕면 사계북로41번길 30,사계리 2884,0507-1335-9219,https://www.instagram.com/soymans_jeju/,입실 18:00 퇴실 12:00,4.81,5367,33.2360113618492,126.295398400061
제주도게스트하우스파티애월 한담누리,게스트하우스,제주 제주시 애월읍 일주서로 6158,애월리 2443-2,0507-1448-4440,https://www.instagram.com/jeju_guesthouse,입실 17:00 퇴실 10:00,0.0,14057,33.4593732244126,126.312449999591
제주도게스트하우스파티 끌림365,게스트하우스,제주 제주시 애월읍 고내로13길 83 A동,고내리 363-1,0507-1415-2017,https://www.instagram.com/cclim_jeju,입실 17:00 퇴실 11:00,0.0,2578,33.4709766189477,126.347666246759
제주도게스트하우스 점보네,게스트하우스,제주 제주시 용마서1길 36 3층,용담삼동 517-4,0507-1307-8240,http://www.instagram.com/jumbo_jeju,입실 17:00 퇴실 12:00,4.75,3341,33.5162164951071,126.505914206875
오션뷰제주 게스트하우스,게스트하우스,제주 서귀포시 안덕면 난드르로 49-71 오션뷰제주 게스트하우스,창천리 785-2,0507-1360-7180,https://www.instagram.com/oceanview__jeju/,입실 17:00 퇴실 11:00,4.81,779,33.2321737127828,126.367111001643
또랑게스트하우스,게스트하우스,제주 제주시 한북로 338,아라일동 1955-3,010-9282-2823,https://youtu.be/Tc_900rnZkc,입실 16:00 퇴실 10:00,4.55,2884,33.4551241372517,126.549378500182
제주도게스트하우스파티애월설레임2호점,게스트하우스,제주 제주시 애월읍 애월북서길 67,애월리 2519-3,0507-1371-6431,https://www.instagram.com/suleimguesthouse/,입실 17:00 퇴실 11:00,4.77,1930,33.4642884671531,126.3104832307
제주도게스트하우스 파티 월정리썬시티,게스트하우스,제주 제주시 구좌읍 월정5길 33 102동,월정리 243,0507-1407-4231,https://blog.naver.com/tip944,입실 16:00 퇴실 11:00,4.84,15499,33.5533763498643,126.79501990043
숙은처녀치마 제주도게스트하우스파티,게스트하우스,제주 제주시 조천읍 함덕서1길 22-25 숙은처녀치마 제주도게스트하우스파티,함덕리 2951-16,0507-1355-5893,https://www.instagram.com/swamppink,입실 17:00 퇴실 11:00,0.0,167,33.541125068483,126.660358099225
우도머뭄,게스트하우스,제주 제주시 우도면 조일길 44 우도머뭄,연평리 156-1,0507-1319-2786,https://blog.naver.com/suyerin486,입실 15:00 퇴실 10:00,4.96,983,33.5059180846432,126.965508175854
제주공항 게스트하우스 그린데이,게스트하우스,제주 제주시 남성로 158-3,삼도이동 251-9,0507-1439-2533,https://blog.naver.com/greendayjeju,입실 16:00 퇴실 11:00,4.45,2975,33.5089212314851,126.522594870623
제주도성산바랑쉬게스트하우스,게스트하우스,제주 서귀포시 성산읍 환해장성로 496,온평리 1111-2,0507-1304-5697,https://www.instagram.com/barangswi_jeju,입실 17:00 퇴실 11:00,0.0,2500,33.401030770598,126.903608009595
제주도게스트하우스파티 애월설레임,게스트하우스,제주 제주시 애월읍 일주서로 5999-1,곽지리 2053-25,0507-1373-6431,https://www.instagram.com/suleimguesthouse/,입실 16:00 퇴실 10:00,4.76,7282,33.4470511101879,126.305789675157
카프리애월 민박,게스트하우스,제주 제주시 애월읍 애월로4길 18,애월리 2150-8,0507-1353-7978,https://blog.naver.com/foreverjeq,입실 17:00 퇴실 10:00,4.83,6779,33.4633078435255,126.314129055232
한라산게스트하우스,게스트하우스,제주 제주시 제주대학로 77,아라일동 358-9,0507-1325-6198,https://blog.naver.com/hallasan2020,입실 17:00 퇴실 10:00,4.93,2037,33.4594115019732,126.558547324198
제주도게스트하우스 협재정류장,게스트하우스,제주 제주시 한림읍 한림로 391 제주도게스트하우스협재정류장,협재리 1625,0507-1322-8968,https://blog.naver.com/byesky486,입실 17:00 퇴실 10:00,4.73,1032,33.3973781032604,126.244170182408
호랑이주택,게스트하우스,제주 제주시 한림읍 명랑남길 17,한림리 546-1,0507-1310-5321,https://blog.naver.com/tigershouse,입실 16:00 퇴실 10:00,4.87,1518,33.4151131905591,126.271165277945
서점숙소,게스트하우스,제주 제주시 조천읍 북촌14길 13-12 205동,북촌리 283,010-4518-8817,http://www.instagram.com/jejubookhome,입실 17:00 퇴실 10:00,4.82,1177,33.549021823347,126.699334771044
서점숙소,게스트하우스,제주 제주시 조천읍 북촌14길 13-12 205동,북촌리 283,010-4518-8817,http://www.instagram.com/jejubookhome,입실 17:00 퇴실 10:00,4.82,1177,33.549021823347,126.699334771044
구주택,게스트하우스,제주 제주시 조천읍 북촌14길 13-10 204동,북촌리 283,0507-1384-0719,https://blog.naver.com/9_jutaek,미제공,0.0,157,33.549021823347,126.699334771044
구주택,게스트하우스,제주 제주시 조천읍 북촌14길 13-10 204동,북촌리 283,0507-1384-0719,https://blog.naver.com/9_jutaek,미제공,0.0,157,33.549021823347,126.699334771044
소담소담,게스트하우스,제주 제주시 흥운길 63-4 소담소담 게스트하우스,용담이동 464-12,064-743-3350,https://www.instagram.com/sodam._.sodam,미제공,0.0,394,33.5145010627196,126.513252683096
숨게스트하우스 제주공항점,게스트하우스,제주 제주시 서광로5길 2-2,용담일동 2829-1,0507-1311-0106,https://blog.naver.com/sumhostel_jeju,입실 15:00 퇴실 11:00,3.95,3031,33.5004323877687,126.514658231146
루프탑정원,게스트하우스,제주 서귀포시 남원읍 태위로912번길 37,태흥리 457-1,0507-1308-3842,https://blog.naver.com/rooftopmd,입실 17:00 퇴실 10:00,4.9,1759,33.2834615712045,126.745264691386
안녕함덕,게스트하우스,제주 제주시 조천읍 함덕로 10,함덕리 272-43,0507-1454-8556,http://instagram.com/hihamdeok,입실 17:00 퇴실 11:00,0.0,761,33.5409715259059,126.673702568633
안녕김녕Sea,게스트하우스,제주 제주시 구좌읍 구좌해안로 178,김녕리 6107-1,0507-1320-3114,https://blog.naver.com/hisea178,입실 16:00 퇴실 11:00,4.57,2391,33.5592206090166,126.731320550818
토다게스트하우스,게스트하우스,제주 제주시 동문로 10 3층,일도일동 1145-1,010-6265-3734,https://www.instagram.com/toda_jeju/,입실 15:00 퇴실 11:00,4.59,796,33.512736528525,126.52782673239
히든스테이,게스트하우스,제주 서귀포시 성산읍 성산중앙로40번길 12 히든스테이,성산리 183-1,0507-1385-3800,https://www.instagram.com/hiddenstay_seongsan,입실 16:00 퇴실 10:00,0.0,397,35.5762329303308,128.284574714751
도토리게스트하우스,게스트하우스,제주 서귀포시 남원읍 신흥고수로 9 도토리게스트하우스,신흥리 632-1,0507-1439-0387,http://www.instagram.com/dotori_guesthouse,입실 17:00 퇴실 10:00,0.0,188,33.2995239161675,126.764444628843
몽중인,게스트하우스,제주 제주시 중앙로4길 6,삼도이동 12-21,0507-1461-7255,https://www.instagram.com/mongjoonginn,입실 16:00 퇴실 11:00,4.81,254,33.5162618662793,126.523994604768
머문공간 게스트하우스,게스트하우스,제주 서귀포시 성산읍 온평포구로54번길 61,온평리 1142-5,010-8311-1137,https://meomoongonggan.modoo.at,입실 16:00 퇴실 11:00,4.9,1945,33.3969893054445,126.899565929111
소낭게스트하우스,게스트하우스,제주 제주시 구좌읍 월정1길 1 소낭게스트하우스,월정리 891-7,0507-1412-7676,https://blog.naver.com/yoo_banjang,입실 16:00 퇴실 10:30,4.69,4531,33.5520770539281,126.790970618876
김군빌리지 게스트하우스,게스트하우스,제주 제주시 어영길 1-1,용담삼동 2289-2,0507-1326-4347,https://gimgoon.me/,입실 16:00 퇴실 10:00,4.62,2893,33.5197394260223,126.494312831303
동행in협재,게스트하우스,제주 제주시 한림읍 협재1길 27 1층 동행in협재,협재리 1689-1,0507-1393-3556,https://www.instagram.com/donghaeng_in_hyeopjae,입실 16:00 퇴실 10:00,4.72,683,33.3977183642549,126.243164602115
각자의 섬,게스트하우스,제주 제주시 구좌읍 종달논길 82,종달리 752,0507-1387-1833,https://www.instagram.com/gakjasum,입실 16:00 퇴실 10:00,0.0,244,33.490322575098,126.900473137694
낯선하루,게스트하우스,제주 서귀포시 성산읍 신양로122번길 30-8,고성리 198,010-2480-1250,https://blog.naver.com/strangday,입실 16:00 퇴실 10:00,4.8,1080,33.4410718816227,126.422859303232
제주도게스트하우스 털보네,게스트하우스,제주 제주시 애월읍 애월북서길 88 제주도게스트하우스털보네,애월리 2002-7,0507-1334-5265,http://www.instagram.com/tulbone_guesthouse,입실 17:00 퇴실 11:00,4.72,1795,33.4636164180844,126.312055824244
제주도 게스트하우스파티 달이머물다,게스트하우스,제주 제주시 구좌읍 해맞이해안로 518-38 2-3층,행원리 1511-3,0507-1328-8057,https://jejumoonstay.modoo.at,입실 16:00 퇴실 12:00,4.53,1702,33.5572238164807,126.802793256399
오소소게스트하우스,게스트하우스,제주 서귀포시 대정읍 비자낭로 23,신도리 2071-4,0507-1385-3592,https://www.instagram.com/ososojeju_official/,입실 15:00 퇴실 11:00,4.88,1247,33.2853428322176,126.183949127777
백패커스홈,게스트하우스,제주 서귀포시 중정로 24-7 1층 프론트,서귀동 315-3,0507-1444-4009,https://blog.naver.com/backpackershome,입실 16:00 퇴실 11:00,4.53,2829,33.2470399399118,126.559030206778
제주공항 게스트하우스 예스준,게스트하우스,제주 제주시 서해안로 232 2층,도두일동 1727-5,0507-1423-1590,https://yesjun.modoo.at/,입실 16:00 퇴실 10:30,4.81,3325,33.50854872294,126.470740711561
파노라마 제주,게스트하우스,제주 제주시 한림읍 월령3길 28-5 파노라마 제주,월령리 264-1,010-3930-4460,http://www.instagram.com/panorama_jeju,입실 16:00 퇴실 10:00,4.79,644,33.3778001837492,126.217316576931
1미리 게스트하우스,게스트하우스,제주 제주시 한림읍 협재6길 22-4 1미리게스트하우스,협재리 1762,010-6566-6446,http://www.instagram.com/1mm_guesthouse,입실 05:00 퇴실 11:00,4.84,1507,33.3934599354357,126.242152389375
제주도 애월 파티하는 오누 게스트하우스,게스트하우스,제주 제주시 애월읍 애월로2길 7 1층 오누게스트하우스,애월리 2147-6,0507-1307-3614,https://www.instagram.com/onoo52so/,입실 17:00 퇴실 11:30,4.8,2082,33.4629119703526,126.314098719435
농땡이 연구소,게스트하우스,제주 제주시 중앙로 49 4층,일도일동 1368-1,010-7377-0064,https://blog.naver.com/idling_lab,입실 16:00 퇴실 11:00,4.68,978,33.5138276945181,126.524895147201
제주 공감 게스트하우스,게스트하우스,제주 서귀포시 대정읍 일과대수로27번길 35 제주 공감 게스트하우스,일과리 1289-2,010-9306-3242,http://www.jejugonggam.kr,입실 17:00 퇴실 10:00,4.81,1092,33.2379836601631,126.229384677239
디바인 모먼츠,게스트하우스,제주 제주시 서해안로 131 4층,도두일동 2541,0507-1376-0331,https://www.instagram.com/_divine_moments/,입실 16:00 퇴실 12:00,0.0,433,33.5030187663625,126.463431351953
협재게스트하우스,게스트하우스,제주 제주시 한림읍 협재4길 1-1 2층,협재리 2436-2,0507-1385-6557,https://www.instagram.com/hyeupjae,입실 16:00 퇴실 11:00,0.0,189,33.3945598899908,126.241432059762
세화 온게스트하우스,게스트하우스,제주 제주시 구좌읍 세화11길 18,세화리 18,010-3417-3335,https://www.instagram.com/onguest_house,입실 17:00 퇴실 11:00,4.72,487,33.5225253184471,126.861053308103
애몽,게스트하우스,제주 제주시 애월읍 고내5길 36,고내리 960-1,0507-1346-0536,http://www.instagram.com/emong_home,입실 16:00 퇴실 11:00,4.82,633,33.46524228188,126.336778620916
제주도파티게스트하우스 문어오빠,게스트하우스,제주 제주시 한림읍 한림로 372-15 제주도파티게스트하우스 문어오빠 협재 본점,협재리 1860,0507-1316-0945,https://www.instagram.com/moon_uh_oppa,입실 17:00 퇴실 10:00,0.0,565,33.3958764077146,126.244257346727
제주여성전용게스트하우스 한나스테이,게스트하우스,제주 제주시 광양1길 6,이도1동 1289-20,0507-1443-0132,https://blog.naver.com/hannahstay,입실 16:00 퇴실 11:00,4.57,1284,33.504215965968,126.527499455408
제주도게스트하우스 친절한경배씨,게스트하우스,제주 제주시 구좌읍 일주동로 2393-64,월정리 856,010-2129-9555,https://blog.naver.com/domjamcon,입실 17:00 퇴실 12:00,0.0,711,33.5556674092765,126.788227736663
플랜비민박,게스트하우스,제주 제주시 애월읍 애월해안로 910,하귀2리 2710-6,0507-1319-7090,http://blog.naver.com/jeju_plan_b,입실 15:00 퇴실 11:00,4.71,1130,33.4844310158398,126.392518033265
이호웨이브,게스트하우스,"제주 제주시 현사길 17-1 1층, 2층",이호일동 1769-7,0507-1313-0793,http://www.instagram.com/jeju_ihowave_guesthouse,입실 17:00 퇴실 10:30,4.91,667,33.4963170789902,126.449415597263
오르다하우스,게스트하우스,제주 제주시 중앙로 192 3층,이도일동 1789-3,0507-1326-4078,https://blog.naver.com/ordahouse2020,입실 17:00 퇴실 10:30,4.82,1749,33.5020737676479,126.527897334983
제주도게스트하우스파티우도성산 메르블루민박,게스트하우스,제주 제주시 구좌읍 문주란로 121 메르블루게스트하우스,하도리 368-4,0507-1304-6291,http://www.instagram.com/choi94206291,입실 17:00 퇴실 11:00,4.9,7608,33.5219987314497,126.894116359087
제주도 조용한 게스트하우스 산방산점,게스트하우스,제주 서귀포시 안덕면 덕수회관로87번길 34,덕수리 2328-1,010-5834-0010,https://blog.naver.com/jejog,입실 17:00 퇴실 10:00,4.82,1176,33.2533938218372,126.30487732571
함덕 조용한 게스트하우스,게스트하우스,제주 제주시 조천읍 함덕14길 28-2,함덕리 1386,0507-1323-9055,미제공,입실 17:00 퇴실 11:00,4.95,487,33.5398869817368,126.664950985891
정원책방,게스트하우스,제주 서귀포시 남원읍 원님로25번길 14,의귀리 700-6,0507-1312-3842,https://blog.naver.com/bookshopmd,입실 17:00 퇴실 10:00,4.79,914,33.3151016707151,126.719922925811
협재마당게스트하우스,게스트하우스,제주 제주시 한림읍 협재로 8 마당게스트하우스,협재리 1847,0507-1431-6488,http://www.instagram.com/madang_jeju,입실 16:00 퇴실 10:00,4.87,1366,33.3964982120202,126.244535187534
제주도게스트하우스파티 유로민박,게스트하우스,제주 서귀포시 표선면 돈오름로 16-1,세화리 1068,0507-1336-6990,https://www.instagram.com/euro_guesthouse,입실 17:00 퇴실 11:00,0.0,694,33.5159598555024,126.85315254861
온더스톤 게스트하우스 제주성산일출봉점,게스트하우스,제주 서귀포시 성산읍 성산등용로 100-4,성산리 358-3,0507-1423-9193,https://www.instagram.com/onthestoneguesthouse/,미제공,4.29,1214,33.4701068278874,126.93063325124
슬로우도,게스트하우스,제주 제주시 우도면 천진길 57 슬로우도 게스트하우스,연평리 1846-2,0507-1313-9151,https://www.instagram.com/slowudo,입실 16:00 퇴실 12:00,0.0,188,33.4977637188577,126.948411264976
동백장게스트하우스,게스트하우스,제주 제주시 애월읍 하광로 289 동백장게스트하우스,광령리 3850-11,0507-1366-5872,https://www.instagram.com/jeju_dongbaekgh,입실 16:00 퇴실 11:00,0.0,46,33.4636256726146,126.423728132985
동백장게스트하우스,게스트하우스,제주 제주시 애월읍 하광로 289 동백장게스트하우스,광령리 3850-11,0507-1366-5872,https://www.instagram.com/jeju_dongbaekgh,입실 16:00 퇴실 11:00,0.0,46,33.4636256726146,126.423728132985
동백장게스트하우스,게스트하우스,제주 제주시 애월읍 하광로 289 동백장게스트하우스,광령리 3850-11,0507-1366-5872,https://www.instagram.com/jeju_dongbaekgh,입실 16:00 퇴실 11:00,0.0,46,33.4636256726146,126.423728132985
광령호텔,모텔,제주 제주시 애월읍 하광로 289,광령리 3850-11,미제공,미제공,미제공,0.0,0,33.4636256726146,126.423728132985
광령호텔,모텔,제주 제주시 애월읍 하광로 289,광령리 3850-11,미제공,미제공,미제공,0.0,0,33.4636256726146,126.423728132985
광령호텔,모텔,제주 제주시 애월읍 하광로 289,광령리 3850-11,미제공,미제공,미제공,0.0,0,33.4636256726146,126.423728132985
광령게스트하우스,모텔,제주 제주시 애월읍 하광로 289,광령리 3850-11,064-747-7721,미제공,미제공,0.0,0,33.4636256726146,126.423728132985
