이름,유형,도로명주소,지번주소,전화번호,홈페이지,테마,위도,경도
제주캠핑카라반,카라반,제주특별자치도 서귀포시 표선면 표선동서로 324-18,표선면 표선리 441,064-787-8202,http://www.jejucampingcaravan.com/,숙소,33.3299500519973,126.838218757624
무거펜션&카라반,펜션,제주특별자치도 제주시 조천읍 조함해안로 356,조천읍 신흥리 15,010-6260-9737,http://moogerpension.com/,숙소,33.5489812420561,126.655065539797
카라반 응,게스트하우스,제주특별자치도 제주시 한경면 용금로 758-1,한경면 저지리 1794,,http://blog.naver.com/ungjeju,숙소,33.3345701340581,126.256997987459
롯데호텔 제주,특급호텔,제주특별자치도 서귀포시 중문관광로72번길 35,색달동 2812-4,064-731-1000,https://www.lottehotel.com/jeju-hotel/ko.html,숙소,33.2485996126094,126.410330074977
캠파제주,오토캠핑장,제주특별자치도 서귀포시 516로 574-23,상효동 1116-1,010-7259-2513,http://xn--9y5b2pk9kn7e.kr/,숙소,33.2983947270539,126.600750706168
클럽다인리조트,"콘도,리조트",제주특별자치도 제주시 애월읍 애월해안로 400-9,애월읍 고내리 79-8,064-799-2600,http://www.dyneresort.co.kr/,숙소,33.4714454320809,126.351254456244
제주파인비치펜션,펜션,제주특별자치도 서귀포시 남원읍 태위로 976-10 나동,남원읍 태흥리 385,064-764-2918,http://www.jejupinebeach.kr/,숙소,33.2874746417276,126.748138828541
녹고뫼휴양펜션 &제주캠핑장,"야영,캠핑장",제주특별자치도 제주시 애월읍 유수암평화10길 175-78,애월읍 유수암리 92,064-799-8118,http://www.nokumecamp.com/,숙소,33.4131378507595,126.418546150179
메이더호텔,호텔,제주특별자치도 제주시 구좌읍 일주동로 1626,구좌읍 동복리 1652-2,064-766-8888,http://meithehotel.com/,숙소,33.5519618940994,126.706654817495
메이더호텔,호텔,제주특별자치도 제주시 구좌읍 일주동로 1626,구좌읍 동복리 1652-2,064-766-8888,http://meithehotel.com/,숙소,33.5519618940994,126.706654817495
메이리조트 카라반,오토캠핑장,제주특별자치도 제주시 구좌읍 일주동로 1626,구좌읍 동복리 1652-2,,,숙소,33.5519618940994,126.706654817495
메이리조트 카라반,오토캠핑장,제주특별자치도 제주시 구좌읍 일주동로 1626,구좌읍 동복리 1652-2,,,숙소,33.5519618940994,126.706654817495
흰수염고래리조트,"콘도,리조트",제주특별자치도 제주시 애월읍 일주서로 6818,애월읍 구엄리 941,064-747-5553,http://jejubluewhale.com/,숙소,33.4750038790233,126.379981214884
빨간풍차펜션,펜션,제주특별자치도 제주시 구좌읍 김녕남2길 36,구좌읍 김녕리 3100,010-6425-1645,http://www.redwindmill.co.kr/,숙소,33.5486172878476,126.742325372739
제주금강산콘도,"콘도,리조트",제주특별자치도 제주시 한림읍 협재로 210-18,한림읍 협재리 929-1,064-795-7800,http://www.mibong.co.kr/,숙소,33.3800270010303,126.250277750876
선양빌리지돔,펜션,제주특별자치도 제주시 조천읍 와흘로 350,조천읍 와흘리 262,010-5168-9001,https://pridge.kr/v2/camping/campinginfo/105174,숙소,33.4746819323387,126.643803836024
고파크,펜션,제주특별자치도 제주시 조천읍 남조로 2044-38,조천읍 교래리 786-17,064-784-0103,http://kopark.co.kr/,숙소,33.4506359816315,126.665351914248
제주애월별헤는밤 글램핑펜션,글램핑장,제주특별자치도 제주시 애월읍 광상로 348,애월읍 유수암리 2270-2,010-6359-7802,http://www.xn--bj0b46p8olsmb6z0b.kr/,숙소,33.4435188523951,126.396967902265
귤빛캠핑장,"야영,캠핑장",제주특별자치도 제주시 조천읍 함와로 428,조천읍 대흘리 172,064-782-0110,http://www.jeju-camping.com/,숙소,33.5039255969304,126.673803228719
까델아스리조트,펜션,제주특별자치도 제주시 애월읍 신엄9길 50,애월읍 신엄리 1104-3,064-799-7996,http://www.cadelhas.com/index.php,숙소,33.4758604581127,126.367169053024
엠버리조트,"콘도,리조트",제주특별자치도 제주시 1100로 2671-51,노형동 310-2,064-805-8695,http://www.amberjeju.com/,숙소,33.4236909491841,126.489454921334
함덕해수욕장 야영장,"야영,캠핑장",제주특별자치도 제주시 조천읍 조함해안로 525,조천읍 함덕리 산 4-4,,,숙소,33.5428267548889,126.670510321052
성산해맞이펜션,펜션,제주특별자치도 서귀포시 성산읍 한도로242번길 10-9,성산읍 성산리 252-7,070-7777-0728,https://welcomingthesun.modoo.at/,숙소,33.4661915553736,126.932197278814
오크라리조트,"콘도,리조트",제주특별자치도 서귀포시 표선면 번영로 3189,표선면 하천리 1415,064-805-9922,https://pridge.kr/v2/camping/campinginfo/126183,숙소,33.3642246026294,126.820186574729
자고가게스트하우스,게스트하우스,제주특별자치도 서귀포시 성산읍 신양로122번길 29,성산읍 고성리 559-4,010-6683-0567,http://blog.naver.com/jejujagoga,숙소,33.4355479903586,126.920427876209
돌고래하우스,펜션,제주특별자치도 서귀포시 이어도로 826-58,강정동 798,064-739-7704,http://dolkorae.fortour.kr/,숙소,33.232728452393,126.499469847941
돈내코유원지 돈내코야영장,"야영,캠핑장",제주특별자치도 서귀포시 돈내코로 114,상효동 1500,,,숙소,33.3002409928156,126.584767758792
제주하늬바람펜션,펜션,제주특별자치도 제주시 애월읍 신상로 258 4동,애월읍 하가리 120-49,064-799-1717,https://jejuhanibaram.modoo.at/,숙소,33.4494028525451,126.36675285659
라라스테이,펜션,제주특별자치도 제주시 한림읍 협재1길 55-3,한림읍 협재리 1449,010-4859-1449,https://www.instagram.com/lala_stay/,숙소,33.3991926135123,126.245247199731
호텔창고펜션,펜션,제주특별자치도 서귀포시 남원읍 하례망장포로 37,남원읍 하례리 31-1,064-763-1307,http://hotelchanggo.com/,숙소,33.2621983068218,126.638339211127
에코그린캠핑장,"야영,캠핑장",제주특별자치도 제주시 애월읍 중산간서로 5587,애월읍 납읍리 1883,070-8900-8649,,숙소,33.4442451755383,126.333524983819
제주신라호텔 글램핑빌리지,"야영,캠핑장",제주특별자치도 서귀포시 색달동 3039-3 숨비정원,,064-735-5179,http://www.shilla.net/jeju/activities/viewActiv.do?contId=GCV#ad-image-0,숙소,33.2471639473767,126.407955114741
태흥연가,펜션,제주특별자치도 서귀포시 남원읍 태위로940번길 12-50,남원읍 태흥리 1148-1,010-6668-1148,http://taeheungyeonga.com/,숙소,33.283037701469,126.747113292644
가문동길펜션,펜션,제주특별자치도 제주시 애월읍 가문동남길 24-1,애월읍 하귀2리 2934,,http://www.gmdg.co.kr/,숙소,33.4811836029775,126.392686272305
스테이오늘,민박,제주특별자치도 제주시 한경면 용당1길 17-1,한경면 용수리 1418,010-8609-9797,https://www.instagram.com/oneul._.jeju,숙소,33.3338772641167,126.178875653401
해비치하우스,펜션,제주특별자치도 서귀포시 표선면 민속해안로 347,표선면 표선리 1282-5,064-787-6300,,숙소,33.3111391299499,126.833401695962
수상한소금밭,게스트하우스,제주특별자치도 제주시 구좌읍 종달동길 36-10,구좌읍 종달리 814-129,,https://www.instagram.com/mysterysalt_jeju/,숙소,33.4904983316857,126.902443070982
에어그라운드,"야영,캠핑장",제주특별자치도 서귀포시 남원읍 남태해안로 439,남원읍 태흥리 1145-1,010-9858-4433,https://www.instagram.com/air_ground/,숙소,33.2820517968592,126.746552774219
하도리오길잘했어,민박,제주특별자치도 제주시 구좌읍 문주란로 22-10,구좌읍 하도리 1418,,,숙소,33.5181451781869,126.88450739386
글로리아펜션,펜션,제주특별자치도 제주시 애월읍 고내북동길 4,애월읍 고내리 577,064-799-7773,,숙소,33.4670606169022,126.339399018036
브로딕제주,펜션,제주특별자치도 서귀포시 토평로148번길 24,토평동 1683-4,064-732-5533,http://www.brodickjeju.com/,숙소,33.2790996148772,126.591086507333
깡통텔리조트,오토캠핑장,제주특별자치도 제주시 애월읍 광상로 49-1,애월읍 광령리 4155,064-722-2323,,숙소,33.4464453627933,126.424989308449
사려니힐스테이,펜션,제주특별자치도 제주시 조천읍 남조로 1785-12,조천읍 교래리 619,0503-5053-8560,,숙소,33.427476966391,126.672114316851
이스트몽블루카라반캠핑,"야영,캠핑장",제주특별자치도 제주시 구좌읍 종달동길 73-1,구좌읍 종달리 582,,,숙소,33.4915494984289,126.907117372888
블랑제이드,펜션,제주특별자치도 서귀포시 안덕면 일주서로 2015-1,안덕면 사계리 1014-17,010-2729-4222,https://blog.naver.com/miree000,숙소,33.2499686392708,126.302599193551
제주아이펜션,펜션,제주특별자치도 제주시 한경면 용당1길 24,한경면 용수리 1463-2,010-4277-7109,,숙소,33.3345417605892,126.17847018232
바우하우스,펜션,제주특별자치도 제주시 구좌읍 문주란로 111-7,구좌읍 하도리 573,010-5050-9177,http://blog.naver.com/jihad1812,숙소,33.5226195770527,126.892653898684
상효원수목원 캠핑장,"야영,캠핑장",제주특별자치도 서귀포시 상효동 1562,,1600-3183,http://jjs.campingholiday.kr/,숙소,33.3049480176104,126.582402526324
한훤,펜션,제주특별자치도 서귀포시 이어도로 826-23,강정동 649,,http://hanhwon.com/m/,숙소,33.2340697861798,126.502273687323
라온제나펜션,펜션,제주특별자치도 제주시 한림읍 명재로 62-2,한림읍 협재리 1265-1,,http://www.jejuraonjena.com/,숙소,33.3935486176353,126.253061524558
에그빌리지,민박,제주특별자치도 서귀포시 성산읍 온평상하로15번길 11-5,성산읍 온평리 581-1,010-9936-0779,http://blog.naver.com/shye1052,숙소,33.4107650751968,126.901188473107
위미캠프하우스,민박,제주특별자치도 서귀포시 남원읍 위미대성로156번길 58,남원읍 위미리 1025-5,,,숙소,33.2838901811308,126.674585943574
백패커스홈,게스트하우스,제주특별자치도 서귀포시 중정로 24,서귀동 315-2,010-7552-4002,https://www.instagram.com/backpackers_home,숙소,33.2472711731802,126.558994922741
그린게스트하우스,게스트하우스,제주특별자치도 제주시 사라봉7길 44,건입동 709-11,064-752-6373,http://www.greenguest.kr/,숙소,33.5142698068431,126.539596334858
또랑게스트하우스,게스트하우스,제주특별자치도 제주시 한북로 338,아라일동 1955-3,064-757-2823,http://ddo5rang.koreasmc.co.kr/,숙소,33.455142562,126.549461763685
올레스테이,게스트하우스,제주특별자치도 서귀포시 중정로 22,서귀동 316-1,064-762-2167,https://ollestay.modoo.at/,숙소,33.2474054910319,126.558657418955
미도호스텔,게스트하우스,제주특별자치도 서귀포시 동문동로 13-1,서귀동 258-2,064-762-7627,http://www.midohostel.com/,숙소,33.2500526601723,126.566341628968
한라산게스트하우스,게스트하우스,제주특별자치도 제주시 제주대학로 77 2층,아라일동 358-9,010-9920-0751,http://hallasan2020.modoo.at/,숙소,33.459343041056,126.55848840286
오르다하우스,게스트하우스,제주특별자치도 제주시 중앙로 192 3층,이도일동 1789-3,010-5047-4078,http://blog.naver.com/ordahouse2020,숙소,33.502068712276,126.527895640546
숨게스트하우스 제주공항점,게스트하우스,제주특별자치도 제주시 서광로5길 2-2,용담1동 2829-1,070-8810-0106,http://cafe.naver.com/sumjejudoairport,숙소,33.5004228129806,126.514653657113
마음스테이게스트하우스,게스트하우스,제주특별자치도 제주시 구좌읍 평대13길 44,구좌읍 평대리 3350-13,010-5328-8941,http://blog.naver.com/maumstay,숙소,33.5262342779319,126.854040081747
제주공감게스트하우스,게스트하우스,제주특별자치도 서귀포시 대정읍 일과대수로27번길 35,대정읍 일과리 1289-2,010-9306-3242,https://blog.naver.com/eogksrudgh,숙소,33.2381039432553,126.229284163554
그린데이 게스트하우스,게스트하우스,제주특별자치도 제주시 남성로 158-3,삼도이동 251-9,010-4696-5537,http://blog.naver.com/greendayjeju,숙소,33.508956690136,126.522484682009
예하게스트하우스 본점,게스트하우스,제주특별자치도 제주시 삼오길 9 3층,삼도일동 561-17,064-724-5506,http://www.yehaguesthouse.com/,숙소,33.4994101091202,126.517437478674
애월게스트하우스 제주에 반하다,게스트하우스,제주특별자치도 제주시 애월읍 어림비로 119,애월읍 봉성리 1729-11,0507-1436-0444,https://booking.naver.com/booking/3/bizes/538224,숙소,33.4187669270048,126.325147884098
애월게스트하우스 제주에 반하다,게스트하우스,제주특별자치도 제주시 애월읍 어림비로 119,애월읍 봉성리 1729-11,0507-1436-0444,https://booking.naver.com/booking/3/bizes/538224,숙소,33.4187669270048,126.325147884098
제주에 반하다,"여관,모텔",제주특별자치도 제주시 애월읍 어림비로 119,애월읍 봉성리 1729-11,,,숙소,33.4187669270048,126.325147884098
제주에 반하다,"여관,모텔",제주특별자치도 제주시 애월읍 어림비로 119,애월읍 봉성리 1729-11,,,숙소,33.4187669270048,126.325147884098
슬로시티,게스트하우스,제주특별자치도 서귀포시 천지로 33,서귀동 307-3,064-732-1286,http://blog.naver.com/slowciti,숙소,33.2506154953822,126.56034330461
제주도 게스트하우스파티 간장남들,게스트하우스,제주특별자치도 서귀포시 안덕면 사계북로41번길 30,안덕면 사계리 2884,010-9375-9219,https://soymans.modoo.at/,숙소,33.2361126635716,126.295200390638
농땡이연구소,게스트하우스,제주특별자치도 제주시 중앙로 49 대영빌딩 4층,일도일동 1368-1,010-7377-0064,http://www.instagram.com/idlinglab,숙소,33.5138237822616,126.524885912218
오소소게스트하우스,게스트하우스,제주특별자치도 서귀포시 대정읍 비자낭로 23,대정읍 신도리 2071-4,010-3705-3592,https://www.instagram.com/ososojeju/,숙소,33.2854186295296,126.183793948489
메르블루 게스트하우스,게스트하우스,제주특별자치도 제주시 구좌읍 문주란로 121,구좌읍 하도리 368-4,010-9420-6291,https://blog.naver.com/merblueu,숙소,33.5220607059129,126.894051266745
안녕김녕씨,게스트하우스,제주특별자치도 제주시 구좌읍 구좌해안로 178,구좌읍 김녕리 6107-1,010-8060-3114,https://hisea.modoo.at/,숙소,33.5593384755428,126.731375215241
머문공간 게스트하우스,게스트하우스,제주특별자치도 서귀포시 성산읍 온평포구로54번길 61,성산읍 온평리 1142-5,,https://meomoongonggan.modoo.at/,숙소,33.396988898351,126.89939727886
토다게스트하우스,게스트하우스,제주특별자치도 제주시 동문로 10 3층,일도일동 1145-1,064-757-3993,,숙소,33.512762575551,126.527777080705
한나스테이,게스트하우스,제주특별자치도 제주시 광양1길 6,이도일동 1289-20,010-7101-0316,https://blog.naver.com/hannahstay,숙소,33.5042086591221,126.52749841891
바바호미,게스트하우스,제주특별자치도 제주시 조천읍 함덕서4길 60-21,조천읍 함덕리 924,010-4256-0956,http://babahomi.com/,숙소,33.538812829017,126.66799900312
꽃하루방게스트하우스,게스트하우스,제주특별자치도 서귀포시 성산읍 온평포구로62번길 24,성산읍 온평리 1110-3,,http://blog.naver.com/bloomdayroom,숙소,33.400338619556,126.902826221634
해나게스트하우스,게스트하우스,제주특별자치도 제주시 애월읍 하귀동남1길 50-4,애월읍 하귀1리 139-4,010-3931-5037,http://blog.naver.com/jejuhannah,숙소,33.4858247858642,126.416498705342
협재 서쪽게스트하우스,게스트하우스,제주특별자치도 제주시 한림읍 협재2길 12,한림읍 협재리 2527,010-7513-5765,https://www.instagram.com/seo_jjok_guesthouse/,숙소,33.3924668422125,126.241091259289
이디하우스,게스트하우스,제주특별자치도 제주시 구좌읍 해녀박물관길 33-2,구좌읍 세화리 1476-5,010-3762-7982,http://blog.naver.com/iidyhouse,숙소,33.5239630927817,126.861933814323
민중각게스트하우스,게스트하우스,제주특별자치도 서귀포시 서문로28번길 4,서귀동 305-6,064-763-0501,http://cafe.daum.net/minjoonggak,숙소,33.2506617922455,126.558700821896
낯선하루게스트하우스,게스트하우스,제주특별자치도 서귀포시 성산읍 신양로122번길 30-8,성산읍 고성리 198,010-8231-1250,https://www.instagram.com/strange_jeju,숙소,33.4362358551315,126.920888047405
게스트하우스브릭,게스트하우스,제주특별자치도 제주시 서사로 163 3층,오라일동 2452,010-8663-9999,https://jejubrickhouse.modoo.at/,숙소,33.4976912344598,126.520040038211
돌담에꽃머무는집,게스트하우스,제주특별자치도 서귀포시 안덕면 대평로 46,안덕면 창천리 903-4,064-739-8942,http://cafe.daum.net/jeju-doldam,숙소,33.2376459230093,126.362679285087
물고기자리게스트하우스,게스트하우스,제주특별자치도 제주시 애월읍 고내로9길 41,애월읍 고내리 1117,010-5693-1251,http://cafe.naver.com/pisceshouse,숙소,33.4667386734644,126.337745488524
벼리게스트하우스,게스트하우스,제주특별자치도 제주시 구좌읍 면수1길 27,구좌읍 하도리 3205,010-3827-2936,http://blog.naver.com/k1675825,숙소,33.5237964992334,126.864567096623
호랑이주택,게스트하우스,제주특별자치도 제주시 한림읍 명랑남길 17,한림읍 한림리 546-1,,https://blog.naver.com/tigershouse,숙소,33.4151299117362,126.271141701459
뚜르드제주게스트하우스,게스트하우스,제주특별자치도 제주시 구좌읍 종달로1길 38-2 .,구좌읍 종달리 1032,010-5007-5012,https://blog.naver.com/tourdejeju,숙소,33.4959027975691,126.89992525281
동문취향게스트하우스,게스트하우스,제주특별자치도 제주시 관덕로15길 4,일도일동 1477-2,010-7615-5759,https://blog.naver.com/eastmarket,숙소,33.5136169328769,126.52697628598
섬게스트하우스,게스트하우스,제주특별자치도 서귀포시 칠십리로 61-1 선영빌딩 6층,서귀동 673-28,064-763-6070,https://seomguesthouse.modoo.at/,숙소,33.2399657715648,126.56299810743
촌따이함덕게스트하우스,게스트하우스,제주특별자치도 제주시 조천읍 함덕30길 20-13,조천읍 함덕리 4160-1,010-2848-2722,https://blog.naver.com/azjw0227,숙소,33.5383905600308,126.675358331964
그리고세화 해변점,게스트하우스,제주특별자치도 제주시 구좌읍 해맞이해안로 1460 3층,구좌읍 세화리 1477-15,070-8818-3099,https://blog.naver.com/rohfly,숙소,33.5243732575665,126.861312364836
구덕게스트하우스,게스트하우스,제주특별자치도 서귀포시 솔동산로22번길 20,서귀동 587-15,064-763-2380,https://www.instagram.com/gudeok_guesthouse/,숙소,33.2440876757683,126.562333150324
바랑쉬게스트하우스,게스트하우스,제주특별자치도 서귀포시 성산읍 환해장성로 496,성산읍 온평리 1111-2,010-9856-5697,http://blog.naver.com/barangswi,숙소,33.4010255781983,126.903655635295
월정리썬시티 게스트하우스,게스트하우스,제주특별자치도 제주시 구좌읍 월정5길 33 102동,구좌읍 월정리 243,010-9271-5335,http://blog.naver.com/tip944,숙소,33.5534145689938,126.795123723707
가온누리 게스트하우스,게스트하우스,제주특별자치도 서귀포시 막숙포로 15,법환동 432-1,064-739-5457,https://www.instagram.com/gaonnuri_house,숙소,33.2397670207503,126.516358206647
쉼게스트하우스,게스트하우스,제주특별자치도 제주시 한림읍 옹포2길 30,한림읍 협재리 1374,064-796-9537,http://www.jeju-shym.com/,숙소,33.3985789194576,126.249739792127
제주로와게스트하우스,게스트하우스,제주특별자치도 제주시 제원길 16 2층,연동 261-60,010-8705-4993,http://jejurowa16.modoo.at/,숙소,33.4885038704103,126.489241603618
미소게스트하우스,게스트하우스,제주특별자치도 제주시 관덕로 41,일도일동 1416-1,010-5836-8188,https://misoguesthouse.modoo.at/,숙소,33.5134116307233,126.523773316336
안녕프로젝트 게스트하우스,게스트하우스,제주특별자치도 제주시 구좌읍 동복로2길 12,구좌읍 동복리 1418-2,010-3386-8848,http://anproject.modoo.at/,숙소,33.5520543939591,126.712262718773
유앤아이게스트하우스,게스트하우스,제주특별자치도 제주시 광양8길 1-2,이도2동 1772-10,064-753-5648,,숙소,33.49977793422,126.529148121601
소로소로,게스트하우스,제주특별자치도 제주시 구좌읍 송당7길 3,구좌읍 송당리 1389-6,010-3679-9938,http://blog.naver.com/hisuhee75,숙소,33.4711900288775,126.786608555466
북마크하우스,게스트하우스,제주특별자치도 서귀포시 대정읍 일과대수로11번길 16-8,대정읍 일과리 1318-3,010-3048-3255,http://blog.naver.com/bookmark_gh,숙소,33.2386893003268,126.231504250053
소담소담 게스트하우스,게스트하우스,제주특별자치도 제주시 흥운길 63-4,용담이동 464-12,064-743-3350,https://www.instagram.com/sodam._.sodam,숙소,33.5144865005047,126.51324081739
간세게스트하우스 본점,게스트하우스,제주특별자치도 제주시 서광로 278 줌타워 2층,이도이동 1781-5,,https://cafe.naver.com/jejuganse.cafe,숙소,33.4999816815601,126.526212033291
또똣제주백팩커스,게스트하우스,제주특별자치도 서귀포시 안덕면 사계남로153번길 10,안덕면 사계리 2080-1,0507-1363-7051,https://ttottotjeju.modoo.at/,숙소,33.2293912775653,126.306296709329
김녕기억게스트하우스,게스트하우스,제주특별자치도 제주시 구좌읍 김녕로11길 16 2층,구좌읍 김녕리 1567-1,010-2696-3901,https://www.instagram.com/remember_injeju,숙소,33.5558162563062,126.749895595674
와하하게스트하우스,게스트하우스,제주특별자치도 서귀포시 표선면 민속해안로 317,표선면 표선리 1299,010-3268-4948,https://wahahaguesthouse.modoo.at/,숙소,33.3101079700755,126.830824974705
배배게스트하우스,게스트하우스,제주특별자치도 제주시 한경면 신창1길 20,한경면 신창리 511,064-772-5534,http://baebae2guesthouse.modoo.at/,숙소,33.3395288916224,126.184170457822
정안호스텔,게스트하우스,제주특별자치도 제주시 용문로 166,용담2동 2678-10,064-900-5095,https://junganhostel.modoo.at/,숙소,33.5089015822225,126.51101506432
세화온게스트하우스,게스트하우스,제주특별자치도 제주시 구좌읍 세화11길 18,구좌읍 세화리 18,010-3417-3335,https://instagram.com/onguest_house,숙소,33.522467061178,126.861040914529
뱅디가름B&B게스트하우스,게스트하우스,제주특별자치도 서귀포시 성산읍 서성일로1222번길 17,성산읍 고성리 1052-4,010-5227-9292,https://bdgr.modoo.at/,숙소,33.4457140416516,126.909771529214
뱅디가름B&B게스트하우스,게스트하우스,제주특별자치도 서귀포시 성산읍 서성일로1222번길 17,성산읍 고성리 1052-4,010-5227-9292,https://bdgr.modoo.at/,숙소,33.4457140416516,126.909771529214
뱅디가룸 게스트하우스,"여관,모텔",제주특별자치도 서귀포시 성산읍 서성일로1222번길 17,성산읍 고성리 1052-4,,,숙소,33.4457140416516,126.909771529214
뱅디가룸 게스트하우스,"여관,모텔",제주특별자치도 서귀포시 성산읍 서성일로1222번길 17,성산읍 고성리 1052-4,,,숙소,33.4457140416516,126.909771529214
나무이야기 남원점,게스트하우스,제주특별자치도 서귀포시 남원읍 남한로21번길 9,남원읍 남원리 153-3,010-3389-4071,https://cafe.naver.com/treestory123,숙소,33.2808064432524,126.716644548009
동행in협재,게스트하우스,제주특별자치도 제주시 한림읍 협재1길 27,한림읍 협재리 1689-1,010-7745-3555,https://instagram.com/donghaeng_in_hyeopjae,숙소,33.3976832425448,126.243156415149
바오젠게스트하우스,게스트하우스,제주특별자치도 제주시 은남2길 41 3층,연동 272-37,010-3492-8582,http://blog.naver.com/world1ks,숙소,33.4881895141161,126.49128710002
게으른소나기,게스트하우스,제주특별자치도 제주시 구좌읍 계룡길 45-6,구좌읍 한동리 1287-4,,http://pf.kakao.com/_xbfxbxcxb/52521520,숙소,33.5388417170932,126.833748691392
서점숙소,게스트하우스,제주특별자치도 제주시 조천읍 북촌14길 13-12,조천읍 북촌리 283,010-7470-8823,https://blog.naver.com/jejubookhome,숙소,33.5491151758483,126.699387424684
점보네게스트하우스,게스트하우스,제주특별자치도 제주시 용마서1길 36 3층,용담삼동 517-4,010-7217-0716,https://blog.naver.com/jumboairport/,숙소,33.5162014148734,126.505908265043
협재정류장,게스트하우스,제주특별자치도 제주시 한림읍 한림로 391 1층,한림읍 협재리 1625,0507-1322-8968,https://url.kr/6x1ed8,숙소,33.397376867561,126.244144933864
머룬스테이,게스트하우스,제주특별자치도 제주시 구좌읍 세송로 74,구좌읍 세화리 689,,http://blog.naver.com/701sehwa,숙소,33.5130100342257,126.856492632002
노마드인제주,게스트하우스,제주특별자치도 제주시 용마로4길 5 2층,용담삼동 519-11,010-7210-4362,http://www.instagram.com/nomadinn_jeju,숙소,33.5157544992328,126.505863554125
