이름,유형,도로명주소,지번주소,전화번호,영업시간,별점,리뷰,메뉴이름,메뉴가격,위도,경도,테마
아줄레주,"카페,디저트",제주 서귀포시 성산읍 신풍하동로19번길 59,신풍리 627,0507-1411-4052,"월,수,목,금,토,일 11:00 ~ 19:00",4.57,3524.0,"['카페라떼', '바닐라라떼', '카라멜 마끼아또', '에스프레소', '제주말차 라떼', '아메리카노', '에그타르트', '수제청']","['6,000원', '6,500원', '6,500원', '5,500원', '6,500원', '5,500원', '2,800원', '변동']",33.3669856331728,126.83917501843,맛집
무로이,베이커리,제주 서귀포시 안덕면 동광본동로 21 무로이,동광리 962,0507-1412-0008,매일 10:00 ~ 20:00,4.51,5697.0,"['크림라떼 (너티/베리)', '크림브루', '항아리 티라미수', '무로이', '아이스크림 라떼', '말차라떼', '아메리카노', '에스프레소', '카페라떼', '카푸치노', '바닐라라떼', '초코라떼', '풋귤', '백향과', '한아름 목장 아이스크림']","['8,000원', '8,000원', '10,000원', '9,000원', '9,000원', '8,000원', '7,000원', '6,000원', '7,500원', '7,500원', '7,500원', '8,000원', '8,000원', '8,000원', '7,000원']",33.3077352309885,126.336566264093,맛집
호텔샌드,"카페,디저트",제주 제주시 한림읍 한림로 339,협재리 2446-3,010-8879-8010,매일 08:30 ~ 23:00,4.39,5557.0,"['선인장 몽테', '과일 타르트', '파블로바', '모래섬', '화산섬']","['7,000원', '8,500원', '6,500원', '13,000원', '13,000원']",33.393887383545,126.240472070734,맛집
파리바게뜨 제주국제공항점,베이커리,"제주 제주시 공항로 2 (용담이동) (용담이동 , 제주국제공항 3층)","용담이동 2002 ( , 제주국제공항 3층)",0507-1343-0741,매일 06:00 ~ 21:00,4.44,10942.0,[],[],33.5059364682672,126.495951277797,맛집
델문도,"카페,디저트",제주 제주시 조천읍 조함해안로 519-10,함덕리 1008-1,064-702-0007,매일 07:00 ~ 24:00,4.35,24778.0,"['아메리카노', '문도슈페너', '콜드브루', '우도땅콩라떼', '제주쑥라떼', '한라봉에이드', '델문도 귤 주스', '오리지널 수제 밀크티']","['7,000원', '8,500원', '8,000원', '8,000원', '8,000원', '9,000원', '8,500원', '8,500원']",33.5437022656737,126.668709879591,맛집
오드랑베이커리,베이커리,제주 제주시 조천읍 조함해안로 552-3,함덕리 270-1,064-784-5404,매일 07:00 ~ 22:00,4.5,15516.0,"['밀크티 라떼', '마농바게트', '카페모카', '먹물치아바타', '버터프레첼', '선드라이 치아바타', '크랜베리 깜빠뉴', '인절미 브레드', '초코퐁듀', '버터롤', '슈레드 갈릭', '까르보나라 무슈', '어니언 베이글', '아메리카노', '카페라떼']","['5,500원', '6,800원', '4,500원', '5,500원', '5,000원', '5,500원', '5,500원', '5,000원', '5,000원', '6,500원', '5,500원', '3,500원', '5,500원', '3,500원', '4,500원']",33.5421352880566,126.671582949609,맛집
노티드 제주,카페,"제주 제주시 애월읍 애월로1길 24-9 1층, 2층",애월리 2527-3,010-4925-9377,매일 10:00 ~ 20:00,4.46,19856.0,[],[],33.4632634899794,126.309727828319,맛집
몽그레 제주공항점,"카페,디저트",제주 제주시 도리로 84,이호일동 634-3,064-744-8224,"월,화,목,금,토,일 09:00 ~ 18:00",4.73,6002.0,"['백향과 청귤에이드', '체리블로썸에이드', '핑크레몬에이드', '제주선셋에이드', '제주 찰보리과자', '그릭요거트']","['6,500원', '6,500원', '6,500원', '6,500원', '11,300원', '6,800원']",33.5000553088763,126.460767124597,맛집
포르뚜나,"카페,디저트",제주 제주시 한림읍 한림해안로 136 1층 카페 포르뚜나,한림리 1587,0507-1385-0927,화~일 09:00 ~ 19:00,0.0,31.0,"['꿀 자몽 슬러쉬', '옛날 팥빙수', '시원한 미숫가루', '초코 라떼', '아메리카노', '카페라떼', '바닐라라떼', '청귤티', '잎차', '적용과에이드', '청귤에이드', '디저트']","['6,500원', '9,000원', '4,500원', '5,500원', '4,500원', '5,500원', '6,000원', '7,000원', '6,000원', '6,500원', '6,500원', '변동']",33.4148941787885,126.261345828402,맛집
제주에인감귤밭,카페,제주 서귀포시 호근서호로 20-14,호근동 693,0507-1320-3593,월~토 10:00 ~ 18:00,4.43,1392.0,"['라봉퐁당에이드', '청귤퐁당에이드', '프렌치토스트', '아이스카페라떼', '아이스바닐라라떼', '한라봉청 3병만들기', '봉귤주스', '아메리카노', '라봉티.청귤티.레몬티', '자몽퐁당에이드', '레몬에이드', '레몬아이스티']","['7,000원', '7,000원', '10,000원', '6,500원', '7,000원', '24,000원', '7,000원', '5,000원', '6,500원', '7,000원', '7,000원', '7,000원']",33.2565639053308,126.539005539531,맛집
오른,"카페,디저트",제주 서귀포시 성산읍 해맞이해안로 2714 orrrn,오조리 394,0507-1401-1559,매일 10:30 ~ 20:00,0.0,3687.0,"['곰돌이우유(키즈메뉴)', '아메리카노-블랜딩', '오른라떼', '아이스크림크러핀', '비건보늬밤파이', '비건단호박파이', '비건피스타치오파이', '약과아이스크림라떼(시즌메뉴)', '약과파이(시즌메뉴)', '슈톨렌파운드(시즌메뉴)', '복숭아에이드(시즌메뉴)', '피기프레소(시즌메뉴)', '크로아상+아이스크림', '피스타치오파이', '뱅쇼(시즌메뉴)']","['7,000원', '7,000원', '8,500원', '6,800원', '7,800원', '7,500원', '7,500원', '8,500원', '8,500원', '6,500원', '7,500원', '7,500원', '6,700원', '7,800원', '8,500원']",33.4718015584104,126.915754333279,맛집
테라로사 서귀포점,카페,제주 서귀포시 칠십리로658번길 27-16,하효동 1306-1,1668-2764,매일 09:00 ~ 21:00,4.51,7175.0,"['아메리카노 HOT', '아메리카노 ICE', '카페라테', '카푸치노', '핸드드립', '하우스 주스', '에스프레소 마키아토', '애스프레소 더블', '민트 레모네이드', '허니 레몬티', '베네수엘라 초콜릿']","['5,300원', '5,800원', '6,000원', '5,500원', '변동', '7,000원', '5,500원', '5,300원', '6,000원', '5,500원', '6,500원']",33.2494683905985,126.618794941759,맛집
카페진정성 종점,"카페,디저트",제주 제주시 서해안로 124,이호일동 322,0507-1369-7674,매일 10:00 ~ 21:00,4.44,5115.0,"['아메리카노', '에스프레소', '라떼', '플랫화이트', '카푸치노']","['5,000원', '5,000원', '5,500원', '5,500원', '5,500원']",33.502414987985,126.462873098177,맛집
도렐 제주 본점,"카페,디저트",제주 서귀포시 성산읍 동류암로 20 플레이스 내 LOVE동,고성리 297-1,0507-1437-3011,매일 08:30 ~ 20:30,4.5,3094.0,"['Nutty Cloud', '쑥하리', '체리조', '캐그', '오메기 베이글', '블랙치스톤']","['7,000원', '7,000원', '7,000원', '5,300원', '4,300원', '5,300원']",33.4498632234159,126.918168422686,맛집
목장카페 밭디,"카페,디저트",제주 서귀포시 표선면 번영로 2486,성읍리 2867,0507-1371-6019,매일 09:00 ~ 18:30,0.0,1811.0,"['우유아이스크림', '목장아이스크림라떼', '제주호지차크림라떼', '패션후르츠 애플티', '당근토끼컵케익', '브라우니쿠키컵케익', '오레오초코컵케익', '흑임자갸또', '단호박갸또', '한라봉차', '패션후르츠 스무디', '망고패션후르츠에이드', '자몽에이드', '제주말차라떼', '초코라떼']","['5,000원', '7,500원', '7,500원', '7,500원', '7,500원', '7,500원', '7,500원', '7,300원', '7,300원', '7,000원', '7,500원', '7,000원', '7,000원', '7,000원', '7,000원']",33.4079000385513,126.772216303046,맛집
쉼표,"카페,디저트",제주 제주시 한림읍 한림로 359,협재리 1732,064-796-7790,매일 09:30 ~ 21:00,4.38,2493.0,"['아메리카노', '카페라떼', '바닐라라떼', '카푸치노', '카페모카']","['6,000원', '6,500원', '7,000원', '6,500원', '7,000원']",33.3952524273696,126.241952927151,맛집
유동커피,"카페,디저트",제주 서귀포시 태평로 406-1,서귀동 581-4,064-733-6662,매일 08:00 ~ 22:00,4.49,4725.0,"['아메리카노', '송산동커피', '카페모카초코', '콜드브루', '라떼']","['4,000원', '5,000원', '5,000원', '4,000원', '4,500원']",33.2445422641819,126.563792111796,맛집
스타벅스 제주서해안로DT점,카페,제주 제주시 서해안로 624,용담삼동 1020-1,1522-3232,매일 07:30 ~ 22:00,4.51,6000.0,"['카페 아메리카노', '카페 라떼', '스타벅스 돌체 라떼', '카라멜 마키아또', '카푸치노', '카페 모카', '화이트 초콜릿 모카', '콜드 브루', '자몽 허니 블랙 티', '아이스 자몽 허니 블랙 티', '망고 바나나 블렌디드', '에스프레소 프라푸치노', '자바 칩 프라푸치노']","['4,500원', '5,000원', '5,900원', '5,900원', '5,000원', '5,500원', '5,900원', '4,900원', '5,700원', '5,700원', '6,300원', '5,500원', '6,300원']",33.5166839499686,126.503564232698,맛집
블루보틀 제주 카페,블루보틀,제주 제주시 구좌읍 번영로 2133-30,송당리 2656-6,1533-6906,매일 08:30 ~ 19:00,4.54,8253.0,"['와플가토', '제주 녹차 땅콩 호떡', '우무 푸딩', '지브랄타', '블렌드 (드립)', '싱글 오리진 (드립)', '놀라', '놀라 플로트', '리에주 와플', '우유 푸딩', '에스프레소', '아메리카노', '마키아토', '카푸치노', '라떼']","['8,000원', '7,100원', '6,300원', '6,000원', '6,000원', '6,500원', '6,600원', '8,000원', '6,300원', '6,800원', '5,000원', '5,600원', '5,600원', '6,200원', '6,600원']",33.4332787775206,126.75085436919,맛집
앙뚜아네트,베이커리,제주 제주시 서해안로 671,용담삼동 503-5,0507-1359-2243,매일 09:00 ~ 20:40,4.31,5564.0,"['용두암 클라우드', '현무암 클라우드', '아메리카노 hot', '아메리카노 ice', '카페라떼 hot', '카페라떼 ice', '카라멜마끼아또 hot', '카라멜마끼아또 ice', '한라봉 에이드', '제주말차라떼 hot', '제주말차라떼 ice', '초코라떼 hot', '초코라떼 ice', '흑당밀크티', '얼그레이밀크티']","['7,900원', '7,900원', '6,000원', '6,500원', '6,500원', '7,000원', '7,000원', '7,500원', '7,500원', '6,500원', '6,500원', '6,500원', '7,000원', '6,500원', '8,000원']",33.5161994716315,126.508820233362,맛집
새빌,"카페,디저트",제주 제주시 애월읍 평화로 1529,봉성리 4554,064-794-0073,매일 09:30 ~ 19:00,4.27,7113.0,"['ESPRESSO 에스프레소', 'AMERICANO 아메리카노', 'COLD BREW 콜드브루', 'DECAFFEINE 디카페인 커피', 'CAFFE LATTE 카페라떼', 'LATTE SAIGON 사이공라떼', 'CARAMEL 카라멜마끼아또', 'CAPPUCCINO 카푸치노', 'SAEBIL LATTE 새빌라떼', '제주산 한라봉 에이드', '무농약 청귤 에이드', '새별오름 에이드', 'STRAWBERRY 딸기라떼', 'CHOCO LATTE 초코라떼', 'GREENTEA LATTE 말차라떼']","['5,500원', '6,000원', '7,000원', '7,500원', '7,000원', '7,500원', '8,000원', '7,000원', '8,000원', '7,500원', '7,500원', '7,500원', '7,500원', '7,000원', '7,000원']",33.361559082812,126.363653537792,맛집
웨이뷰,베이커리,제주 제주시 한림읍 옹포7길 25-3,옹포리 419-3,0507-1312-8767,매일 10:00 ~ 20:00,0.0,2296.0,"['크림치즈 사과빵', '제주 천혜향빵', '현무암의꽃', '웨이뷰 팡도르', '수플레 크림치즈', '선라이즈에이드(레몬에이드)', '선셋에이드(패션후르츠에이드)', '비양도의 석양(히비스커스 유자차)', '옹포 포구의 돋을볕(꿀자몽블랙티)', '생크림호두범벅', '밤돌돌 브리오슈', '옥수수 깜빠뉴', '롱롱 소시지', '감자바게트', '감자치즈 치아바타']","['6,000원', '6,000원', '7,000원', '8,000원', '5,500원', '8,000원', '8,000원', '7,500원', '7,500원', '6,500원', '7,000원', '6,500원', '6,000원', '7,000원', '6,000원']",33.4072621681924,126.252662100324,맛집
스타벅스 제주중문점,카페,제주 서귀포시 중문관광로110번길 32,색달동 2864-2,1522-3232,매일 07:30 ~ 20:30,4.43,6327.0,"['카페 아메리카노', '카페 라떼', '스타벅스 돌체 라떼', '카라멜 마키아또', '카푸치노', '카페 모카', '화이트 초콜릿 모카', '콜드 브루', '자몽 허니 블랙 티', '아이스 자몽 허니 블랙 티', '망고 바나나 블렌디드', '에스프레소 프라푸치노', '자바 칩 프라푸치노']","['4,500원', '5,000원', '5,900원', '5,900원', '5,000원', '5,500원', '5,900원', '4,900원', '5,700원', '5,700원', '6,300원', '5,500원', '6,300원']",33.2511965704814,126.412639076353,맛집
제주 하멜,베이커리,제주 제주시 노형2길 51-3,노형동 3814-1,0507-1311-1653,매일 11:00 ~ 18:00,4.55,2227.0,['Cheesemon'],"['17,000원']",33.4785251397262,126.476152672261,맛집
허니문하우스,"카페,디저트",제주 서귀포시 칠십리로 228-13,토평동 511,070-4277-9922,매일 10:00 ~ 18:30,4.46,6118.0,"['청귤차', '청귤에이드', '전통 팥빙수', '제주 당근주스', '아이스 아메리카노', '아메리카노', '카페라떼', '카페모카', '아인슈페너라떼(Ice only)', '플랫화이트', '지브랄타 (Hot only)', '초코라떼', '캐모마일티', '쿠키(초코,오트밀,피넛버터)', '당근 케이크(1조각)']","['9,500원', '10,000원', '30,000원', '10,000원', '7,500원', '7,000원', '8,500원', '8,500원', '9,000원', '8,000원', '8,000원', '8,000원', '8,500원', '4,000원', '9,000원']",33.2441618903821,126.578867714726,맛집
파리바게뜨 제주공항렌터카하우스점,베이커리,제주 제주시 공항로 2 (용담이동) 제주국제공항 렌터카하우스,용담2동 2002 제주국제공항 렌터카하우스,0507-1369-5373,매일 06:00 ~ 21:00,0.0,12303.0,[],[],33.5059364682672,126.495951277797,맛집
바다바라 카페&베이커리,"카페,디저트",제주 서귀포시 중문관광로72번길 29-51,색달동 2822-12,0507-1335-8884,매일 09:00 ~ 20:00,4.37,3316.0,"['한라봉 아이스크림', '소금빵 아이스크림', '제주목장 아이스크림', '우도땅콩 아이스크림', '바다샌드', '생크림 딸기 몽블랑', '망고썬셋스무디', '한라봉 에이드', '팡도르', '한라봉빵', '소금빵', '쵸코소금빠', '바질소금빵', '제주 귤빵', '고구마빵']","['6,500원', '8,000원', '6,000원', '6,500원', '18,000원', '8,500원', '9,000원', '8,000원', '7,500원', '4,500원', '3,500원', '4,200원', '4,000원', '변동', '4,500원']",33.2458960844133,126.412976265172,맛집
마틸다,차,제주 제주시 애월읍 고내1길 33,고내리 841,064-799-3629,"월,수,목,금,토,일 18:00 ~ 01:00",4.45,1544.0,"['아메리카노', '카스맥주', '칵테일']","['7,000원', '5,500원', '10,000원']",33.4656972471332,126.334277136391,맛집
블랑로쉐,"카페,디저트",제주 제주시 우도면 우도해안길 783 1층,연평리 721-2,0507-1398-9154,매일 11:00 ~ 17:00,0.0,6616.0,"['우도 땅콩크림라떼', '우도 땅콩아이스크림', '우도 땅콩잼', '아메리카노', '카페라떼', '우도땅콩카페라떼', '바스크 치즈케이크', '블랑치즈케이크', '퀸아망', '까눌레', '스콘', '퓨어레몬에이드', '한라봉스무디', '한라봉에이드', '한라봉주스']","['8,900원', '6,800원', '12,000원', '6,800원', '7,800원', '8,300원', '9,800원', '9,500원', '5,500원', '4,300원', '4,500원', '8,700원', '9,500원', '8,700원', '9,000원']",33.5156850528603,126.957909833043,맛집
빽다방베이커리 제주사수점,테이크아웃커피,제주 제주시 서해안로 291-5,도두이동 1679,064-711-0228,매일 10:00 ~ 22:00,4.5,10035.0,"['앗메리카노', '달달연유라떼', '콜드브루', '바닐라라떼', '카페모카', '미숫가루', '더블에스프레소', '원조커피', '카라멜마키아또', '블랙펄카페라떼', '디카페인 앗메리카노']","['1,500원', '3,700원', '4,000원', '3,500원', '3,500원', '2,700원', '1,500원', '2,500원', '3,500원', '4,200원', '3,200원']",33.5092792043371,126.476622664767,맛집
마음에온,"카페,디저트",제주 제주시 칠성로길 29-1 1층 마음에온,일도일동 1301-4,010-6605-0953,"월,화,수,목,토,일 10:00 ~ 20:00",4.68,1485.0,"['치즈곶감말이', '칠성라떼', '쫀득쫀득약과', '아메리카노', '오미자에이드', '백향과차', '식혜&약과']","['4,000원', '6,000원', '2,000원', '4,000원', '6,000원', '4,500원', '5,500원']",33.5145793833966,126.525962848972,맛집
제주카페 브라보비치 성산일출봉,"카페,디저트",제주 서귀포시 성산읍 해맞이해안로 2614 1층,시흥리 10,0507-1310-8448,매일 10:00 ~ 22:00,0.0,7835.0,"['약과쿠키(1인3개한정판매)', '소금빵', '아이스크림크로플', '제주당근케이크', '버터바(여러가지맛)', '쪽파크림치즈소금빵', '치즈케이크', '크럼블치즈케이크(여러가지맛)', '명란마요소금빵', '먹물소금빵', '체다치즈소금빵', '초코소금빵', '에그마요소금빵', '앙버터소금빵', '아메리칸쿠키']","['변동', '변동', '변동', '변동', '변동', '변동', '변동', '변동', '변동', '변동', '변동', '변동', '변동', '변동', '변동']",33.4775159621215,126.909136942196,맛집
보래드 베이커스,베이커리,제주 서귀포시 보목로64번길 178 1층 보래드 베이커스,,0507-1314-1450,매일 08:00 ~ 22:00,4.68,,,,33.2444159941835,126.590540213465,맛집
마마롱,베이커리,제주 제주시 애월읍 평화로 2783 1층 마마롱,,064-747-1074,화~일 10:00 ~ 19:00,4.55,2015.0,"['마마롱 케이크', '당근 케이크', '파운드 케이크 세트 (4종)', '마마롱 에끌레어', '애플망고 생크림 케이크', '딸기 생크림 케이크', '마마롱 밀푀유', '레몬 타르트', '포레누아', '파리-브레스트', '몽블랑 타르트', '이스파한', '무화과 타르트', '코코 바니니', '마카롱 (10구)']","['8,500원', '8,500원', '25,000원', '6,500원', '12,000원', '9,000원', '7,500원', '7,500원', '7,500원', '7,500원', '7,500원', '7,000원', '변동', '7,500원', '31,000원']",33.4521567767768,126.439180967033,맛집
잔물결,"카페,디저트",제주 제주시 한림읍 금능길 58-1 1층,금능리 1351-1,0507-1342-5564,매일 10:00 ~ 18:00,4.48,3350.0,"['잔물결블렌드커피', '수제치즈케이크', '산 오름 크림커피', '바람 보름']","['6,500원', '6,000원', '6,500원', '6,500원']",33.388061470817,126.229658028,맛집
바이러닉 에스프레소 바 제주점,카페,제주 제주시 테우해안로 96 바이러닉 에스프레소바,내도동 453-13,0507-1377-5975,매일 09:00 ~ 22:00,0.0,1494.0,[],[],33.4976758669241,126.444568237473,맛집
제주만주,베이커리,제주 제주시 애월읍 일주서로 6707 1층,신엄리 1251-1,0507-1346-0559,매일 09:00 ~ 20:00,0.0,1679.0,"['제주 밤만주(4개입)', '제주 녹차만주(4개입)', '우도 땅콩만주(4개입)', '9개입 교차', '제주 밤만주(9개입)', '우도 땅콩만주(9개입)', '제주 녹차만주(9개입)', '밀크티', '콜드브루', '바닐라라떼']","['8,800원', '8,800원', '8,800원', '18,900원', '18,900원', '18,900원', '18,900원', '3,900원', '3,900원', '3,900원']",33.4721188425881,126.368630286254,맛집
안도르,"카페,디저트",제주 제주시 구좌읍 비자림로 1647 1층,송당리 2142,0507-1468-5536,매일 10:00 ~ 20:00,0.0,,,,33.4566409462794,126.771907157147,맛집
제주바솔트,"카페,디저트",제주 제주시 가령골3길 6 1층,,064-721-7625,매일 10:00 ~ 19:00,4.53,2378.0,"['제주돌빵 (5개입)', '돌테라 (1롤)', '돌아우니 (6개입)', '돌쿠아즈 (5개입)', '메밀쿠키 (18개입)', '메밀쿠키 (9개입)', '감귤드립커피 (5개입)']","['12,000원', '15,000원', '15,000원', '16,500원', '25,000원', '13,500원', '12,000원']",33.5040884874612,126.539230961374,맛집
위이,"카페,디저트",제주 서귀포시 안덕면 신화역사로682번길 12,동광리 5-34,010-9249-5881,매일 10:00 ~ 21:00,0.0,967.0,['브런치'],"['18,000원']",33.3127652036015,126.359048447115,맛집
해화탕,"카페,디저트",제주 제주시 한림읍 일주서로 5855 1층,귀덕리 1030-1,0507-1436-5150,매일 10:00 ~ 00:00,0.0,324.0,"['계절 과일 크로플', '해화탕 수제식혜', '제주도푸른청귤에이드', '해화탕 라떼', '자스민녹차', '윈터드림', '실버 라임 블라썸', '레몬스카이', '요거트볼', '피넛버터 라즈베리 크로플', '그릴드 초코 바나나 크로플', '브라운 치즈 크로플', '토마토 바질토스트', '해화탕 (아메리카노 : 온탕&냉탕)', '딸기라떼']","['14,500원', '7,500원', '7,500원', '7,500원', '7,000원', '7,000원', '7,000원', '7,000원', '4,800원', '13,500원', '13,500원', '13,000원', '9,000원', '6,000원', '7,500원']",33.4433182445475,126.291612297247,맛집
언더라운지 제주함덕점,"카페,디저트","제주 제주시 조천읍 함덕로 40 5층, 6층",함덕리 산14-13,0507-1481-3688,매일 09:00 ~ 1:00,4.87,1585.0,"['SORBET', 'Beer & Cocktail', 'Fresh Ade', 'Dessert', 'Fresh / Herb Tea / Sweet Iced Tea', 'Coffee', 'Non-Coffee Latte', 'Smoothie', 'Real Fresh Juice']","['8,000원', '변동', '7,000원', '변동', '변동', '변동', '변동', '변동', '변동']",33.5423954649322,126.671132773258,맛집
스타벅스 제주협재점,카페,제주 제주시 한림읍 한림로 337,협재리 2445-1,1522-3232,매일 08:00 ~ 21:00,4.47,6656.0,"['카페 아메리카노', '카페 라떼', '스타벅스 돌체 라떼', '카라멜 마키아또', '카푸치노', '카페 모카', '화이트 초콜릿 모카', '콜드 브루', '자몽 허니 블랙 티', '아이스 자몽 허니 블랙 티', '망고 바나나 블렌디드', '에스프레소 프라푸치노', '자바 칩 프라푸치노']","['4,500원', '5,000원', '5,900원', '5,900원', '5,000원', '5,500원', '5,900원', '4,900원', '5,700원', '5,700원', '6,300원', '5,500원', '6,300원']",33.393831193545,126.240232982728,맛집
