이름,카테고리,별점,도로명주소,지번주소,전화번호,테마
목장카페 밭디,"카페,디저트",0.0,제주 서귀포시 표선면 번영로 2486,성읍리 2867,0507-1371-6019,맛집
쉼표,"카페,디저트",4.38,제주 제주시 한림읍 한림로 359,협재리 1732,064-796-7790,맛집
유동커피,"카페,디저트",4.49,제주 서귀포시 태평로 406-1,서귀동 581-4,064-733-6662,맛집
스타벅스 제주서해안로DT점,카페,4.51,제주 제주시 서해안로 624,용담삼동 1020-1,1522-3232,맛집
블루보틀 제주 카페,블루보틀,4.54,제주 제주시 구좌읍 번영로 2133-30,송당리 2656-6,1533-6906,맛집
앙뚜아네트,베이커리,4.31,제주 제주시 서해안로 671,용담삼동 503-5,0507-1359-2243,맛집
새빌,"카페,디저트",4.27,제주 제주시 애월읍 평화로 1529,봉성리 4554,064-794-0073,맛집
웨이뷰,베이커리,0.0,제주 제주시 한림읍 옹포7길 25-3,옹포리 419-3,0507-1312-8767,맛집
스타벅스 제주중문점,카페,4.43,제주 서귀포시 중문관광로110번길 32,색달동 2864-2,1522-3232,맛집
제주 하멜,베이커리,4.55,제주 제주시 노형2길 51-3,노형동 3814-1,0507-1311-1653,맛집
허니문하우스,"카페,디저트",4.46,제주 서귀포시 칠십리로 228-13,토평동 511,070-4277-9922,맛집
파리바게뜨 제주공항렌터카하우스점,베이커리,0.0,제주 제주시 공항로 2 (용담이동) 제주국제공항 렌터카하우스,용담2동 2002 제주국제공항 렌터카하우스,0507-1369-5373,맛집
바다바라 카페&베이커리,"카페,디저트",4.37,제주 서귀포시 중문관광로72번길 29-51,색달동 2822-12,0507-1335-8884,맛집
마틸다,차,4.45,제주 제주시 애월읍 고내1길 33,고내리 841,064-799-3629,맛집
블랑로쉐,"카페,디저트",0.0,제주 제주시 우도면 우도해안길 783 1층,연평리 721-2,0507-1398-9154,맛집
빽다방베이커리 제주사수점,테이크아웃커피,4.5,제주 제주시 서해안로 291-5,도두이동 1679,064-711-0228,맛집
마음에온,"카페,디저트",4.68,제주 제주시 칠성로길 29-1 1층 마음에온,일도일동 1301-4,010-6605-0953,맛집
제주카페 브라보비치 성산일출봉,"카페,디저트",0.0,제주 서귀포시 성산읍 해맞이해안로 2614 1층,시흥리 10,0507-1310-8448,맛집
보래드 베이커스,베이커리,4.68,제주 서귀포시 보목로64번길 178 1층 보래드 베이커스,,0507-1314-1450,맛집
마마롱,베이커리,4.55,제주 제주시 애월읍 평화로 2783 1층 마마롱,,064-747-1074,맛집
잔물결,"카페,디저트",4.48,제주 제주시 한림읍 금능길 58-1 1층,금능리 1351-1,0507-1342-5564,맛집
바이러닉 에스프레소 바 제주점,카페,0.0,제주 제주시 테우해안로 96 바이러닉 에스프레소바,내도동 453-13,0507-1377-5975,맛집
제주만주,베이커리,0.0,제주 제주시 애월읍 일주서로 6707 1층,신엄리 1251-1,0507-1346-0559,맛집
안도르,"카페,디저트",0.0,제주 제주시 구좌읍 비자림로 1647 1층,송당리 2142,0507-1468-5536,맛집
제주바솔트,"카페,디저트",4.53,제주 제주시 가령골3길 6 1층,,064-721-7625,맛집
위이,"카페,디저트",0.0,제주 서귀포시 안덕면 신화역사로682번길 12,동광리 5-34,010-9249-5881,맛집
해화탕,"카페,디저트",0.0,제주 제주시 한림읍 일주서로 5855 1층,귀덕리 1030-1,0507-1436-5150,맛집
언더라운지 제주함덕점,"카페,디저트",4.87,"제주 제주시 조천읍 함덕로 40 5층, 6층",함덕리 산14-13,0507-1481-3688,맛집
스타벅스 제주협재점,카페,4.47,제주 제주시 한림읍 한림로 337,협재리 2445-1,1522-3232,맛집
스타벅스 제주애월DT점,카페,4.45,제주 제주시 애월읍 애월해안로 376,고내리 340,1522-3232,맛집
카페오놀,"카페,디저트",0.0,제주 서귀포시 대포로 174 2층 카페 오놀,대포동 2367-1,0507-1353-4564,맛집
카페아오오,"카페,디저트",4.41,제주 서귀포시 성산읍 환해장성로 75,신산리 420,0507-1394-0078,맛집
제주기와,"카페,디저트",4.83,제주 제주시 애월읍 광령남4길 45-1,광령리 3178,0507-1362-7515,맛집
카페모알보알 제주점,"카페,디저트",4.39,제주 제주시 구좌읍 구좌해안로 141 카페 모알보알,김녕리 6159,0507-1312-3506,맛집
너븐,"카페,디저트",4.57,제주 서귀포시 칠십리로214번길 26 너븐,동홍동 281-1,0507-1427-2412,맛집
물,"카페,디저트",0.0,제주 제주시 삼무로11길 9 남해오네뜨 1층,연동 300-3,0507-1483-8294,맛집
홉히,"카페,디저트",0.0,제주 제주시 서해안로 468-2,용담삼동 2378,0507-1446-9399,맛집
성산 카페 브런치 어반정글 부얀트무드,"카페,디저트",4.52,제주 서귀포시 성산읍 신고로22번길 39 단독,고성리 208-8,0507-1321-5918,맛집
애월더선셋,카페,4.31,제주 제주시 애월읍 일주서로 6111,곽지리 1381,0507-1403-5943,맛집
새록,"카페,디저트",0.0,제주 제주시 인다11길 28,아라일동 6126-2,010-4976-2246,맛집
베메로 bake make roast,"카페,디저트",4.64,제주 서귀포시 중문관광로72번길 29-9 신우성타운 내 라동,색달동 2822-2,064-738-7832,맛집
집의기록상점,베이커리,0.0,제주 제주시 한림읍 귀덕11길 60,귀덕리 951-1,070-8845-5556,맛집
애월빵공장 앤 카페,"카페,디저트",4.34,"제주 제주시 애월읍 금성5길 42-15 애월빵공장앤카페 1, 2층",금성리 472-13,0507-1351-5961,맛집
블루메베이글,베이커리,4.64,제주 제주시 가령로4길 3 1층,,0507-1445-3444,맛집
미쁜제과,"카페,디저트",0.0,제주 서귀포시 대정읍 도원남로 16 미쁜제과,신도리 2349-13,070-8822-9212,맛집
콜린 제주,"카페,디저트",0.0,제주 제주시 애월읍 애월로1길 24-8 1-3층,애월리 2527-2,0507-1316-0665,맛집
먹쿠슬낭카페,"카페,디저트",4.74,제주 제주시 오라로 24 먹쿠슬낭카페,오라삼동 2319-8,0507-1371-0360,맛집
스타벅스 제주용담DT점,카페,4.47,제주 제주시 서해안로 380,용담삼동 2572-4,1522-3232,맛집
바다다,"카페,디저트",4.27,제주 서귀포시 대포로 148-15,대포동 2384,064-738-2882,맛집
파리바게뜨 제주공항탑승점,베이커리,4.36,제주 제주시 공항로 2 (용담이동) 국내선 격리대합실 2층,용담2동 2002 국내선 격리대합실 2층,0507-1324-0742,맛집
빠빠라기,카페,4.48,제주 제주시 중앙로 218 남광빌딩,이도이동 1772-17,064-722-1888,맛집
새물,"카페,디저트",4.7,제주 제주시 애월읍 애월해안로 620 1.2.3층,신엄리 929-2,0507-1359-4305,맛집
울트라마린,"카페,디저트",4.57,제주 제주시 한경면 일주서로 4611,판포리 1611,064-803-0414,맛집
스타벅스 제주성산DT점,카페,4.48,제주 서귀포시 성산읍 일출로 80,고성리 238,1522-3232,맛집
성산카페 호랑호랑,카페,4.4,제주 서귀포시 성산읍 일출로 86 C동 호랑호랑,고성리 235,064-783-9799,맛집
테라도스,"카페,디저트",4.84,제주 제주시 애월읍 애상로 207-2 테라도스,하가리 1607-3,010-8565-4162,맛집
롱플레이,카페,0.0,제주 제주시 구좌읍 동복로 44,동복리 1456-1,070-4489-4004,맛집
다니쉬,베이커리,4.61,제주 제주시 조천읍 함덕16길 56 다니쉬,함덕리 1250,0507-1333-1377,맛집
수애기베이커리카페,베이커리,4.42,제주 서귀포시 대정읍 동일하모로98번길 48-59,동일리 3132,064-792-7997,맛집
말로,"카페,디저트",4.48,제주 제주시 조천읍 남조로 1785-12,교래리 619,0507-1317-5197,맛집
인카페온더비치,카페,4.47,제주 제주시 구좌읍 해맞이해안로 943,한동리 1638,0507-1411-1638,맛집
애월빵공장,"카페,디저트",0.0,제주 제주시 애월읍 금성5길 42-15 203호,금성리 472-13,0507-1353-6767,맛집
공백,"카페,디저트",4.35,제주 제주시 구좌읍 동복로 83,동복리 1568-1,064-783-0015,맛집
프릳츠 제주성산점,"카페,디저트",0.0,제주 서귀포시 성산읍 일출로 222,성산리 399-28,0507-1468-2045,맛집
아뽀밍고,"카페,디저트",4.63,제주 서귀포시 성산읍 일출로 230 3층,성산리 399-46,010-3694-7103,맛집
백한철꽈배기&식빵,베이커리,0.0,제주 서귀포시 남원읍 남한로21번길 56,남원리 1279-1,0507-1448-5063,맛집
카페나모나모베이커리,"카페,디저트",4.44,제주 제주시 도두봉6길 4 연중무휴 도두봉 무지개 해안도로 앞 대형 베이커리카페,도두일동 1732-9,064-713-7782,맛집
뷰스트,"카페,디저트",4.44,제주 서귀포시 안덕면 형제해안로 30,사계리 2147-2,0507-1356-9272,맛집
카페루시아 본점,"카페,디저트",4.47,제주 서귀포시 안덕면 난드르로 49-17,창천리 840-1,064-738-8879,맛집
김녕 쪼끌락 카페,"카페,디저트",0.0,제주 제주시 구좌읍 김녕로21길 21 쪼끌락카페,김녕리 1223-20,0507-1412-3436,맛집
고도,카페,4.58,제주 제주시 어영길 15 1층. 고도,용담삼동 1173-1,0507-1387-1514,맛집
앨리스,"카페,디저트",4.63,제주 제주시 서광로32길 36-1 2층,이도이동 1188-15,064-702-1179,맛집
용두암오메기떡집,"떡,한과",4.57,제주 제주시 용담로7길 6,용담2동 603-121,0507-1358-0049,맛집
하라케케,"카페,디저트",0.0,제주 서귀포시 속골로 29-10 16호,호근동 1638-2,0507-1311-0878,맛집
섬나라오메기떡,떡카페,4.53,제주 제주시 용해로 6 섬나라오메기,용담삼동 1029,064-724-4455,맛집
애월아시시,"카페,디저트",0.0,제주 제주시 애월읍 애월해안로 474 지하1층,신엄리 2801-5,010-4451-3400,맛집
보라지붕,"카페,디저트",4.85,제주 제주시 조천읍 함덕19길 6,함덕리 960-3,0507-1326-6827,맛집
신촌덕인당,베이커리,4.39,제주 제주시 조천읍 신북로 36,신촌리 2586-1,064-783-6153,맛집
봄날,"카페,디저트",0.0,제주 제주시 애월읍 애월로1길 25,애월리 2540,0507-1494-4999,맛집
보룡제과,베이커리,4.58,제주 서귀포시 성산읍 고성오조로 48-1,고성리 2747-28,064-782-5472,맛집
리부아르,"카페,디저트",0.0,제주 제주시 애월읍 애월해안로 686 3층 LIBOIRE CAFE,구엄리 1258-8,0507-1344-5574,맛집
풀베개,"카페,디저트",4.17,제주 서귀포시 안덕면 화순서서로 492-4,서광리 1756-1,064-792-2717,맛집
듀포레,베이커리,4.54,제주 제주시 서해안로 579 듀포레,용담삼동 1092,0507-1386-4515,맛집
공설,"카페,디저트",0.0,제주 제주시 공설로 15 공설,삼도일동 562-8,064-723-3479,맛집
소색채본,"카페,디저트",0.0,제주 서귀포시 안덕면 사계남로216번길 24-61 소색채본,사계리 113,0507-1356-1686,맛집
함덕카페 어반정글 그레이밤부,브런치카페,0.0,제주 제주시 조천읍 일주동로 1611 1층,북촌리 371-1,0507-1323-5911,맛집
카페한라산,"카페,디저트",4.62,제주 제주시 구좌읍 면수1길 48,하도리 3200-9,064-783-1522,맛집
클랭블루,"카페,디저트",4.46,제주 제주시 한경면 한경해안로 552-22,신창리 1293-1,0507-1335-5338,맛집
다소니,차,4.5,제주 제주시 오남로6길 24,오라일동 995-15,064-752-5533,맛집
푸딩푸딩,"카페,디저트",0.0,제주 제주시 남성로 12 1층,용담일동 2824,010-7597-4620,맛집
서울앵무새 제주점,"카페,디저트",0.0,제주 서귀포시 색달중앙로 162,색달동 1045,0507-1333-1940,맛집
조식,"카페,디저트",4.86,제주 제주시 애월읍 어림비로 272,어음리 3459-1,0507-1333-1940,맛집
웨스트그라운드,"카페,디저트",0.0,제주 제주시 한경면 신한로 183-16 웨스트그라운드,두모리 568-1,0507-1314-3855,맛집
델문도 김녕점,"카페,디저트",0.0,제주 제주시 구좌읍 해맞이해안로 140,김녕리 462-15,010-3268-2804,맛집
디뷰,"카페,디저트",4.9,제주 제주시 노형7길 9-16 1층 디뷰,노형동 3801-9,070-4139-9999,맛집
슬로보트,"카페,디저트",4.69,제주 제주시 애월읍 하귀2길 46-16,하귀1리 330,0507-1389-1455,맛집
스타벅스 성산일출봉점,카페,4.46,제주 서귀포시 성산읍 일출로 284-5,성산리 109-11,1522-3232,맛집
벙커하우스,"카페,디저트",4.44,제주 서귀포시 막숙포로41번길 66,법환동 140,0507-1358-0803,맛집
고사리커피,"카페,디저트",0.0,제주 제주시 구좌읍 중산간동로 2064,송당리 1152-2,0507-1340-9316,맛집
오복떡집,떡카페,4.31,제주 제주시 동문로2길 10 오복떡집,일도1동 1480-3,064-753-4641,맛집
크래커스 대정점,카페,4.49,제주 서귀포시 대정읍 보성구억로126번길 34 1층,안성리 1858-1,064-792-8900,맛집
버터모닝,베이커리,4.62,제주 제주시 애월읍 하광로 279,광령리 3798-3,064-712-0461,맛집
카페구할구 제주,"카페,디저트",0.0,제주 제주시 구좌읍 월정5길 48-2 카페구할구 제주,월정리 514,0507-1316-5953,맛집
마녀의 언덕 카페,"카페,디저트",4.52,제주 서귀포시 예래해안로 205 1층,하예동 702,010-5003-8816,맛집
인스밀,베이커리,4.41,제주 서귀포시 대정읍 일과대수로27번길 22 1층,일과리 1291,0507-1352-5661,맛집
성산 카페 브런치 난산리다방 & 사진관 조아가지구,"카페,디저트",4.98,제주 서귀포시 성산읍 난산로41번길 39-2,난산리 1173-1,0507-1362-1317,맛집
망고홀릭 제주본점,"카페,디저트",4.49,제주 제주시 삼무로5길 2 1층,연동 271-40,064-746-8778,맛집
피커스 제주,"카페,디저트",4.44,제주 제주시 아연로 444-1 2층,오등동 613,0507-1401-0240,맛집
풍림다방 송당점,"카페,디저트",0.0,제주 제주시 구좌읍 중산간동로 2267-4 풍림다방 송당점,송당리 1377-1,1811-5775,맛집
테라로사커피 중문 에코라운지점,카페,0.0,제주 서귀포시 일주서로 1166,상예동 2676,1668-2764,맛집
멜버즈,"카페,디저트",4.64,제주 제주시 한라대학로 114 골든스퀘어 1층 멜버즈,,0507-1436-0790,맛집
비케이브,"카페,디저트",0.0,제주 제주시 조천읍 동백로 122 1층 비케이브,선흘리 161-6,0507-1410-8022,맛집
트라이브,"카페,디저트",4.68,제주 제주시 애월읍 애월로 11,애월리 2467,064-799-1031,맛집
오버더센스,"카페,디저트",0.0,제주 서귀포시 칠십리로 655 오버더센스,하효동 1098,0507-1409-1115,맛집
카페리 CAFERI 구좌읍 평대리카페,"카페,디저트",0.0,제주 제주시 구좌읍 평대2길 39 1층,평대리 1947-4,010-2047-8244,맛집
아침미소목장,"카페,디저트",0.0,제주 제주시 첨단동길 160-20,월평동 155,0507-1469-2545,맛집
스타벅스 서귀포DT점,카페,4.49,제주 서귀포시 일주서로 11,강정동 246,1522-3232,맛집
찰리공장,"카페,디저트",0.0,제주 제주시 중앙로13길 21 1층,일도1동 1484-7,0507-1318-3507,맛집
리치망고 애월본점,카페,4.46,제주 제주시 애월읍 애월해안로 272,고내리 474-1,070-4243-5959,맛집
스타벅스 제주신화월드R점,카페,4.45,제주 서귀포시 안덕면 신화역사로304번길 38,서광리 산24,1522-3232,맛집
그루브,카페,4.45,제주 제주시 한림읍 한림로 333,협재리 2447-7,064-796-3336,맛집
UDA,"카페,디저트",4.67,제주 서귀포시 속골로 13-7,호근동 1631-1,070-7757-0000,맛집
구좌상회,"카페,디저트",4.36,제주 제주시 조천읍 선교로 198-5 구좌상회,선흘리 3983,010-6600-6648,맛집
사일리커피,카페,4.67,제주 서귀포시 대정읍 최남단해안로 412,상모리 1670-3,0507-1369-3382,맛집
베케,"카페,디저트",4.44,제주 서귀포시 효돈로 54,신효동 1137-1,064-732-3828,맛집
SADDLER HAUS 제주애월점,베이커리,4.53,제주 제주시 애월읍 애월로1길 24-15 1층,애월리 2527-4,02-4567-1234,맛집
스타벅스 제주칠성점,카페,4.48,제주 제주시 관덕로 55,일도1동 1461-1,1522-3232,맛집
앤트러사이트,"카페,디저트",0.0,제주 제주시 한림읍 한림로 564,동명리 1715,064-796-7991,맛집
인그리드,"카페,디저트",4.52,제주 제주시 서해안로 64,,0507-1344-6646,맛집
그러므로part2,"카페,디저트",4.47,제주 제주시 수목원길 16-14,노형동 128,070-8844-2984,맛집
성산해나,"카페,디저트",4.66,제주 서귀포시 성산읍 성산중앙로 30-1,성산리 174-11,0507-1331-2820,맛집
포레스트제이 카우셰드,"카페,디저트",0.0,제주 서귀포시 안덕면 화순서서로64번길 16 포레스트제이카우셰드,화순리 1759-1,064-792-9909,맛집
커피냅로스터스 제주,"카페,디저트",0.0,제주 제주시 애월읍 하귀2길 45 1층,하귀1리 450-1,064-744-4131,맛집
모노클제주,베이커리,4.54,제주 서귀포시 남원읍 태위로360번길 30-8,위미리 745-4,0507-1314-0360,맛집
소길다방,"카페,디저트",0.0,제주 제주시 애월읍 소길2길 45-3,소길리 619,0507-1483-5641,맛집
안녕육지사람,"카페,디저트",4.55,제주 제주시 우도면 우도해안길 792,연평리 1197-4,0507-1387-0186,맛집
포레스트,베이커리,0.0,제주 제주시 애월읍 유수암평화길 162 포레스트,유수암리 965,064-799-8853,맛집
플로웨이브,"카페,디저트",0.0,제주 제주시 한림읍 장원길 63-12 플로웨이브 카페,한림리 56-1,0507-1305-9367,맛집
베릴,"카페,디저트",0.0,제주 제주시 한림읍 협재1길 19-8 1층,협재리 1698,010-2371-7114,맛집
카페 돗돗헌,"카페,디저트",4.4,제주 서귀포시 표선면 민속해안로 631-34,표선리 40-1,0507-1447-4502,맛집
빠빠라기 신제주점,카페,4.5,제주 제주시 신광로 45,연동 272-19,064-753-2888,맛집
귤당리 협재점,"카페,디저트",4.85,제주 제주시 한경면 일주서로 4492,판포리 2950,070-7537-0038,맛집
카페이면,카페,4.65,제주 제주시 한림읍 금능5길 13 1층,금능리 1544,0507-1444-8864,맛집
카페 라라라,"카페,디저트",4.61,제주 제주시 구좌읍 해맞이해안로 1430,세화리 1498-3,0507-1328-0464,맛집
카페 레이어드 제주점,"카페,디저트",0.0,제주 제주시 구좌읍 동복로 85 주1동 1층,동복리 719-1,0507-1328-0464,맛집
호도제과,베이커리,4.47,제주 서귀포시 안덕면 화순로 132 호도제과,화순리 1091-4,0507-1477-0047,맛집
채점석베이커리&카페,베이커리,4.36,제주 서귀포시 서호남로32번길 29,서호동 1554-4,064-739-0033,맛집
오알,"카페,디저트",0.0,제주 서귀포시 태평로 107 하얀색 뒷건물,호근동 481-1,0507-1475-7113,맛집
팀블로우,"카페,디저트",4.58,제주 제주시 애월읍 애월로 19-5 1층,애월리 2474-3,064-799-2843,맛집
벨진밧,"카페,디저트",4.44,제주 서귀포시 대정읍 보성구억로 220-1,안성리 2014-3,0507-1457-0177,맛집
폴바셋 제주 아라 DT점,카페,4.45,제주 제주시 중앙로 393,아라이동 2436,064-725-8270,맛집
카페 귤꽃다락,"카페,디저트",4.66,제주 서귀포시 이어도로1027번길 34,서호동 133,0507-1409-2323,맛집
카페블루하우스 제주점,"카페,디저트",4.86,제주 제주시 노형5길 11 1층 카페블루하우스,노형동 3802-14,0507-1393-1688,맛집
미깡창고 카페,"카페,디저트",4.56,제주 제주시 애월읍 중산간서로 6710-1 미깡창고,광령리 19-2,0507-1408-1506,맛집
롤링브루잉,카페,4.78,제주 제주시 동문로 21-1 1층 롤링브루잉,일도1동 1168-1,010-9312-5222,맛집
카페팀블로우,"카페,디저트",4.56,"제주 제주시 애월읍 애월로 19-3 나동, 1층",애월리 2474-2,0507-1349-2843,맛집
마노커피하우스,"카페,디저트",4.76,제주 서귀포시 천제연로188번길 6-6 1층,중문동 2121,0507-1381-7373,맛집
미스틱3도,카페,4.4,제주 제주시 1100로 2894-49 1층,노형동 291-10,0507-1312-2905,맛집
히포파운드,"카페,디저트",0.0,제주 제주시 오광로 120 1층,,0507-1458-6290,맛집
빵귿,베이커리,4.53,제주 제주시 구남동6길 45-1 1층 빵귿,이도이동 2026-18,064-757-0392,맛집
스타벅스 제주노형점,카페,4.51,제주 제주시 도령로 27,노형동 1295-16,1522-3232,맛집
비브레이브 혁신도시점,"카페,디저트",4.58,제주 서귀포시 서호중앙로 85-13,서호동 1525-2,0507-1330-9112,맛집
폴 바셋 제주 용담 DT점,카페,0.0,제주 제주시 서해안로 442-1 폴바셋,용담삼동 2400-10,064-749-1630,맛집
명월국민학교,"카페,디저트",4.48,제주 제주시 한림읍 명월로 48,명월리 1734,070-8803-1955,맛집
외도339,베이커리,4.46,제주 제주시 일주서로 7345 OEDO339,외도이동 339,0507-1345-0339,맛집
봉주르마담,베이커리,4.48,제주 서귀포시 대청로 33 오름빌딩1차 103호 봉주르마담,강정동 208-4,0507-1440-2900,맛집
북성로42 베이커리,베이커리,0.0,제주 제주시 북성로 42 1-3층,삼도이동 1176-15,0507-1403-0654,맛집
돌카롱 제주공항점,"카페,디저트",4.35,제주 제주시 서광로2길 27-2,오라일동 2444-23,0507-1300-5261,맛집
카페살레,"카페,디저트",4.56,"제주 제주시 우도면 우도해안길 816 1,2층",연평리 1290-2,0507-1317-8409,맛집
그라나다,카페,4.32,제주 제주시 도공로 86-1,이호일동 292-4,010-8900-2877,맛집
애월당 애월제과,베이커리,4.55,제주 제주시 애월읍 애월북서길 56,,0507-1492-8504,맛집
로빙화,"카페,디저트",0.0,제주 서귀포시 남원읍 남태해안로 13,남원리 1398-7,0507-1433-1955,맛집
제주명품쑥보리빵,베이커리,4.45,제주 제주시 우정로 2,외도일동 418-11,064-711-2462,맛집
찻집 지안 본점,차,0.0,제주 제주시 애월읍 유수암로 23 1층 우측상가,유수암리 1846-1,0507-1335-9551,맛집
릴로,브런치카페,4.75,제주 제주시 구좌읍 하도13길 63 릴로,하도리 53-39,010-4420-4945,맛집
에이바우트커피뷰 하귀포구점,카페,4.41,제주 제주시 애월읍 하귀12길 21-2 1~3층,하귀1리 1624-2,064-711-5558,맛집
에오마르,"카페,디저트",4.32,제주 제주시 선사로8길 13-6,삼양일동 1569-26,0507-1357-2412,맛집
열두달,"카페,디저트",4.68,제주 제주시 한경면 용수길 37 열두달,용수리 4348-8,0507-1335-0754,맛집
애플망고1947,"카페,디저트",4.52,제주 서귀포시 대정읍 신평로 32,신평리 452-1,064-732-1947,맛집
와토커피,"카페,디저트",4.53,제주 서귀포시 대정읍 동일하모로 238,상모리 3854-5,0507-1407-1452,맛집
Jimmys natural icecream,아이스크림,4.38,제주 제주시 우도면 우도해안길 1132,연평리 317-2,010-9868-8633,맛집
모뉴에트,"카페,디저트",0.0,제주 제주시 구좌읍 종달동길 23,종달리 748,010-5746-5316,맛집
트라인커피,"카페,디저트",4.49,제주 제주시 조천읍 와흘상길 32,와흘리 1908,0507-1412-9794,맛집
미남미녀,"카페,디저트",4.69,제주 서귀포시 색달중앙로55번길 22 미남미녀,색달동 2223,0507-1330-6165,맛집
카페소금,"카페,디저트",4.51,제주 제주시 애월읍 구엄길 96,구엄리 1285-1,0507-1428-5541,맛집
대원오메기떡,떡카페,4.57,제주 제주시 동광로5길 3 대원오메기떡,이도일동 1252-1,064-757-4244,맛집
게우지코지 카페,베이커리,4.43,제주 서귀포시 보목포로 177,하효동 1371-1,0507-1368-5555,맛집
탐나쑥빵,베이커리,4.67,제주 제주시 한림읍 한림상로 221 1층,대림리 1789-9,0507-1315-5092,맛집
카페 치즈태비,"카페,디저트",0.0,제주 제주시 구좌읍 행원로7길 18-9 카페치즈태비,행원리 610,0507-1324-1464,맛집
용꽈배기,베이커리,4.44,제주 제주시 서광로30길 3 용꽈배기,이도이동 1776-4,064-725-6772,맛집
푸린 제주애월점,"카페,디저트",0.0,제주 제주시 애월읍 애월로1길 24-5 1층 PURIN 제주애월점,애월리 2527-14,0507-1494-7333,맛집
카페오드리,"카페,디저트",0.0,제주 제주시 한림읍 한창로 1294 카페오드리,금악리 1954-2,0507-1332-4657,맛집
스타벅스 제주시청점,카페,4.47,제주 제주시 중앙로 215,이도이동 1176-85,1522-3232,맛집
인터포레스트,"카페,디저트",4.73,제주 제주시 구좌읍 비자림로 1655,송당리 2092,010-5793-1913,맛집
카페담아,"카페,디저트",4.52,제주 서귀포시 칠십리로 94-1,서귀동 759-9,0507-1358-2521,맛집
라토커피제주,"카페,디저트",4.47,제주 제주시 광양10길 20,이도2동 1769-15,0507-1358-2521,맛집
비수기애호가,"카페,디저트",0.0,제주 제주시 구좌읍 해맞이해안로 997 2층,한동리 1368-5,064-782-4217,맛집
