이름,유형,도로명주소,지번주소,전화번호,홈페이지,테마
돈내코유원지 돈내코야영장,"야영,캠핑장",제주특별자치도 서귀포시 돈내코로 114,상효동 1500,,,숙소
제주하늬바람펜션,펜션,제주특별자치도 제주시 애월읍 신상로 258 4동,애월읍 하가리 120-49,064-799-1717,https://jejuhanibaram.modoo.at/,숙소
라라스테이,펜션,제주특별자치도 제주시 한림읍 협재1길 55-3,한림읍 협재리 1449,010-4859-1449,https://www.instagram.com/lala_stay/,숙소
호텔창고펜션,펜션,제주특별자치도 서귀포시 남원읍 하례망장포로 37,남원읍 하례리 31-1,064-763-1307,http://hotelchanggo.com/,숙소
에코그린캠핑장,"야영,캠핑장",제주특별자치도 제주시 애월읍 중산간서로 5587,애월읍 납읍리 1883,070-8900-8649,,숙소
제주신라호텔 글램핑빌리지,"야영,캠핑장",제주특별자치도 서귀포시 색달동 3039-3 숨비정원,,064-735-5179,http://www.shilla.net/jeju/activities/viewActiv.do?contId=GCV#ad-image-0,숙소
태흥연가,펜션,제주특별자치도 서귀포시 남원읍 태위로940번길 12-50,남원읍 태흥리 1148-1,010-6668-1148,http://taeheungyeonga.com/,숙소
가문동길펜션,펜션,제주특별자치도 제주시 애월읍 가문동남길 24-1,애월읍 하귀2리 2934,,http://www.gmdg.co.kr/,숙소
스테이오늘,민박,제주특별자치도 제주시 한경면 용당1길 17-1,한경면 용수리 1418,010-8609-9797,https://www.instagram.com/oneul._.jeju,숙소
해비치하우스,펜션,제주특별자치도 서귀포시 표선면 민속해안로 347,표선면 표선리 1282-5,064-787-6300,,숙소
수상한소금밭,게스트하우스,제주특별자치도 제주시 구좌읍 종달동길 36-10,구좌읍 종달리 814-129,,https://www.instagram.com/mysterysalt_jeju/,숙소
에어그라운드,"야영,캠핑장",제주특별자치도 서귀포시 남원읍 남태해안로 439,남원읍 태흥리 1145-1,010-9858-4433,https://www.instagram.com/air_ground/,숙소
하도리오길잘했어,민박,제주특별자치도 제주시 구좌읍 문주란로 22-10,구좌읍 하도리 1418,,,숙소
글로리아펜션,펜션,제주특별자치도 제주시 애월읍 고내북동길 4,애월읍 고내리 577,064-799-7773,,숙소
브로딕제주,펜션,제주특별자치도 서귀포시 토평로148번길 24,토평동 1683-4,064-732-5533,http://www.brodickjeju.com/,숙소
깡통텔리조트,오토캠핑장,제주특별자치도 제주시 애월읍 광상로 49-1,애월읍 광령리 4155,064-722-2323,,숙소
사려니힐스테이,펜션,제주특별자치도 제주시 조천읍 남조로 1785-12,조천읍 교래리 619,0503-5053-8560,,숙소
이스트몽블루카라반캠핑,"야영,캠핑장",제주특별자치도 제주시 구좌읍 종달동길 73-1,구좌읍 종달리 582,,,숙소
블랑제이드,펜션,제주특별자치도 서귀포시 안덕면 일주서로 2015-1,안덕면 사계리 1014-17,010-2729-4222,https://blog.naver.com/miree000,숙소
제주아이펜션,펜션,제주특별자치도 제주시 한경면 용당1길 24,한경면 용수리 1463-2,010-4277-7109,,숙소
바우하우스,펜션,제주특별자치도 제주시 구좌읍 문주란로 111-7,구좌읍 하도리 573,010-5050-9177,http://blog.naver.com/jihad1812,숙소
상효원수목원 캠핑장,"야영,캠핑장",제주특별자치도 서귀포시 상효동 1562,,1600-3183,http://jjs.campingholiday.kr/,숙소
한훤,펜션,제주특별자치도 서귀포시 이어도로 826-23,강정동 649,,http://hanhwon.com/m/,숙소
라온제나펜션,펜션,제주특별자치도 제주시 한림읍 명재로 62-2,한림읍 협재리 1265-1,,http://www.jejuraonjena.com/,숙소
에그빌리지,민박,제주특별자치도 서귀포시 성산읍 온평상하로15번길 11-5,성산읍 온평리 581-1,010-9936-0779,http://blog.naver.com/shye1052,숙소
위미캠프하우스,민박,제주특별자치도 서귀포시 남원읍 위미대성로156번길 58,남원읍 위미리 1025-5,,,숙소
백패커스홈,게스트하우스,제주특별자치도 서귀포시 중정로 24,서귀동 315-2,010-7552-4002,https://www.instagram.com/backpackers_home,숙소
그린게스트하우스,게스트하우스,제주특별자치도 제주시 사라봉7길 44,건입동 709-11,064-752-6373,http://www.greenguest.kr/,숙소
또랑게스트하우스,게스트하우스,제주특별자치도 제주시 한북로 338,아라일동 1955-3,064-757-2823,http://ddo5rang.koreasmc.co.kr/,숙소
올레스테이,게스트하우스,제주특별자치도 서귀포시 중정로 22,서귀동 316-1,064-762-2167,https://ollestay.modoo.at/,숙소
미도호스텔,게스트하우스,제주특별자치도 서귀포시 동문동로 13-1,서귀동 258-2,064-762-7627,http://www.midohostel.com/,숙소
한라산게스트하우스,게스트하우스,제주특별자치도 제주시 제주대학로 77 2층,아라일동 358-9,010-9920-0751,http://hallasan2020.modoo.at/,숙소
오르다하우스,게스트하우스,제주특별자치도 제주시 중앙로 192 3층,이도일동 1789-3,010-5047-4078,http://blog.naver.com/ordahouse2020,숙소
숨게스트하우스 제주공항점,게스트하우스,제주특별자치도 제주시 서광로5길 2-2,용담1동 2829-1,070-8810-0106,http://cafe.naver.com/sumjejudoairport,숙소
마음스테이게스트하우스,게스트하우스,제주특별자치도 제주시 구좌읍 평대13길 44,구좌읍 평대리 3350-13,010-5328-8941,http://blog.naver.com/maumstay,숙소
제주공감게스트하우스,게스트하우스,제주특별자치도 서귀포시 대정읍 일과대수로27번길 35,대정읍 일과리 1289-2,010-9306-3242,https://blog.naver.com/eogksrudgh,숙소
그린데이 게스트하우스,게스트하우스,제주특별자치도 제주시 남성로 158-3,삼도이동 251-9,010-4696-5537,http://blog.naver.com/greendayjeju,숙소
예하게스트하우스 본점,게스트하우스,제주특별자치도 제주시 삼오길 9 3층,삼도일동 561-17,064-724-5506,http://www.yehaguesthouse.com/,숙소
애월게스트하우스 제주에 반하다,게스트하우스,제주특별자치도 제주시 애월읍 어림비로 119,애월읍 봉성리 1729-11,0507-1436-0444,https://booking.naver.com/booking/3/bizes/538224,숙소
슬로시티,게스트하우스,제주특별자치도 서귀포시 천지로 33,서귀동 307-3,064-732-1286,http://blog.naver.com/slowciti,숙소
제주도 게스트하우스파티 간장남들,게스트하우스,제주특별자치도 서귀포시 안덕면 사계북로41번길 30,안덕면 사계리 2884,010-9375-9219,https://soymans.modoo.at/,숙소
농땡이연구소,게스트하우스,제주특별자치도 제주시 중앙로 49 대영빌딩 4층,일도일동 1368-1,010-7377-0064,http://www.instagram.com/idlinglab,숙소
오소소게스트하우스,게스트하우스,제주특별자치도 서귀포시 대정읍 비자낭로 23,대정읍 신도리 2071-4,010-3705-3592,https://www.instagram.com/ososojeju/,숙소
메르블루 게스트하우스,게스트하우스,제주특별자치도 제주시 구좌읍 문주란로 121,구좌읍 하도리 368-4,010-9420-6291,https://blog.naver.com/merblueu,숙소
안녕김녕씨,게스트하우스,제주특별자치도 제주시 구좌읍 구좌해안로 178,구좌읍 김녕리 6107-1,010-8060-3114,https://hisea.modoo.at/,숙소
머문공간 게스트하우스,게스트하우스,제주특별자치도 서귀포시 성산읍 온평포구로54번길 61,성산읍 온평리 1142-5,,https://meomoongonggan.modoo.at/,숙소
토다게스트하우스,게스트하우스,제주특별자치도 제주시 동문로 10 3층,일도일동 1145-1,064-757-3993,,숙소
한나스테이,게스트하우스,제주특별자치도 제주시 광양1길 6,이도일동 1289-20,010-7101-0316,https://blog.naver.com/hannahstay,숙소
바바호미,게스트하우스,제주특별자치도 제주시 조천읍 함덕서4길 60-21,조천읍 함덕리 924,010-4256-0956,http://babahomi.com/,숙소
꽃하루방게스트하우스,게스트하우스,제주특별자치도 서귀포시 성산읍 온평포구로62번길 24,성산읍 온평리 1110-3,,http://blog.naver.com/bloomdayroom,숙소
해나게스트하우스,게스트하우스,제주특별자치도 제주시 애월읍 하귀동남1길 50-4,애월읍 하귀1리 139-4,010-3931-5037,http://blog.naver.com/jejuhannah,숙소
협재 서쪽게스트하우스,게스트하우스,제주특별자치도 제주시 한림읍 협재2길 12,한림읍 협재리 2527,010-7513-5765,https://www.instagram.com/seo_jjok_guesthouse/,숙소
이디하우스,게스트하우스,제주특별자치도 제주시 구좌읍 해녀박물관길 33-2,구좌읍 세화리 1476-5,010-3762-7982,http://blog.naver.com/iidyhouse,숙소
민중각게스트하우스,게스트하우스,제주특별자치도 서귀포시 서문로28번길 4,서귀동 305-6,064-763-0501,http://cafe.daum.net/minjoonggak,숙소
낯선하루게스트하우스,게스트하우스,제주특별자치도 서귀포시 성산읍 신양로122번길 30-8,성산읍 고성리 198,010-8231-1250,https://www.instagram.com/strange_jeju,숙소
게스트하우스브릭,게스트하우스,제주특별자치도 제주시 서사로 163 3층,오라일동 2452,010-8663-9999,https://jejubrickhouse.modoo.at/,숙소
돌담에꽃머무는집,게스트하우스,제주특별자치도 서귀포시 안덕면 대평로 46,안덕면 창천리 903-4,064-739-8942,http://cafe.daum.net/jeju-doldam,숙소
물고기자리게스트하우스,게스트하우스,제주특별자치도 제주시 애월읍 고내로9길 41,애월읍 고내리 1117,010-5693-1251,http://cafe.naver.com/pisceshouse,숙소
벼리게스트하우스,게스트하우스,제주특별자치도 제주시 구좌읍 면수1길 27,구좌읍 하도리 3205,010-3827-2936,http://blog.naver.com/k1675825,숙소
게스트하우스7,게스트하우스,"제주특별자치도 제주시 용문로 168 1,2,3층",용담2동 2678-2,010-6798-7888,http://guesthouse7.com/,숙소
호랑이주택,게스트하우스,제주특별자치도 제주시 한림읍 명랑남길 17,한림읍 한림리 546-1,,https://blog.naver.com/tigershouse,숙소
뚜르드제주게스트하우스,게스트하우스,제주특별자치도 제주시 구좌읍 종달로1길 38-2 .,구좌읍 종달리 1032,010-5007-5012,https://blog.naver.com/tourdejeju,숙소
동문취향게스트하우스,게스트하우스,제주특별자치도 제주시 관덕로15길 4,일도일동 1477-2,010-7615-5759,https://blog.naver.com/eastmarket,숙소
섬게스트하우스,게스트하우스,제주특별자치도 서귀포시 칠십리로 61-1 선영빌딩 6층,서귀동 673-28,064-763-6070,https://seomguesthouse.modoo.at/,숙소
촌따이함덕게스트하우스,게스트하우스,제주특별자치도 제주시 조천읍 함덕30길 20-13,조천읍 함덕리 4160-1,010-2848-2722,https://blog.naver.com/azjw0227,숙소
그리고세화 해변점,게스트하우스,제주특별자치도 제주시 구좌읍 해맞이해안로 1460 3층,구좌읍 세화리 1477-15,070-8818-3099,https://blog.naver.com/rohfly,숙소
구덕게스트하우스,게스트하우스,제주특별자치도 서귀포시 솔동산로22번길 20,서귀동 587-15,064-763-2380,https://www.instagram.com/gudeok_guesthouse/,숙소
바랑쉬게스트하우스,게스트하우스,제주특별자치도 서귀포시 성산읍 환해장성로 496,성산읍 온평리 1111-2,010-9856-5697,http://blog.naver.com/barangswi,숙소
월정리썬시티 게스트하우스,게스트하우스,제주특별자치도 제주시 구좌읍 월정5길 33 102동,구좌읍 월정리 243,010-9271-5335,http://blog.naver.com/tip944,숙소
가온누리 게스트하우스,게스트하우스,제주특별자치도 서귀포시 막숙포로 15,법환동 432-1,064-739-5457,https://www.instagram.com/gaonnuri_house,숙소
쉼게스트하우스,게스트하우스,제주특별자치도 제주시 한림읍 옹포2길 30,한림읍 협재리 1374,064-796-9537,http://www.jeju-shym.com/,숙소
제주로와게스트하우스,게스트하우스,제주특별자치도 제주시 제원길 16 2층,연동 261-60,010-8705-4993,http://jejurowa16.modoo.at/,숙소
미소게스트하우스,게스트하우스,제주특별자치도 제주시 관덕로 41,일도일동 1416-1,010-5836-8188,https://misoguesthouse.modoo.at/,숙소
안녕프로젝트 게스트하우스,게스트하우스,제주특별자치도 제주시 구좌읍 동복로2길 12,구좌읍 동복리 1418-2,010-3386-8848,http://anproject.modoo.at/,숙소
유앤아이게스트하우스,게스트하우스,제주특별자치도 제주시 광양8길 1-2,이도2동 1772-10,064-753-5648,,숙소
소로소로,게스트하우스,제주특별자치도 제주시 구좌읍 송당7길 3,구좌읍 송당리 1389-6,010-3679-9938,http://blog.naver.com/hisuhee75,숙소
북마크하우스,게스트하우스,제주특별자치도 서귀포시 대정읍 일과대수로11번길 16-8,대정읍 일과리 1318-3,010-3048-3255,http://blog.naver.com/bookmark_gh,숙소
소담소담 게스트하우스,게스트하우스,제주특별자치도 제주시 흥운길 63-4,용담이동 464-12,064-743-3350,https://www.instagram.com/sodam._.sodam,숙소
간세게스트하우스 본점,게스트하우스,제주특별자치도 제주시 서광로 278 줌타워 2층,이도이동 1781-5,,https://cafe.naver.com/jejuganse.cafe,숙소
또똣제주백팩커스,게스트하우스,제주특별자치도 서귀포시 안덕면 사계남로153번길 10,안덕면 사계리 2080-1,0507-1363-7051,https://ttottotjeju.modoo.at/,숙소
김녕기억게스트하우스,게스트하우스,제주특별자치도 제주시 구좌읍 김녕로11길 16 2층,구좌읍 김녕리 1567-1,010-2696-3901,https://www.instagram.com/remember_injeju,숙소
와하하게스트하우스,게스트하우스,제주특별자치도 서귀포시 표선면 민속해안로 317,표선면 표선리 1299,010-3268-4948,https://wahahaguesthouse.modoo.at/,숙소
배배게스트하우스,게스트하우스,제주특별자치도 제주시 한경면 신창1길 20,한경면 신창리 511,064-772-5534,http://baebae2guesthouse.modoo.at/,숙소
정안호스텔,게스트하우스,제주특별자치도 제주시 용문로 166,용담2동 2678-10,064-900-5095,https://junganhostel.modoo.at/,숙소
세화온게스트하우스,게스트하우스,제주특별자치도 제주시 구좌읍 세화11길 18,구좌읍 세화리 18,010-3417-3335,https://instagram.com/onguest_house,숙소
뱅디가름B&B게스트하우스,게스트하우스,제주특별자치도 서귀포시 성산읍 서성일로1222번길 17,성산읍 고성리 1052-4,010-5227-9292,https://bdgr.modoo.at/,숙소
나무이야기 남원점,게스트하우스,제주특별자치도 서귀포시 남원읍 남한로21번길 9,남원읍 남원리 153-3,010-3389-4071,https://cafe.naver.com/treestory123,숙소
동행in협재,게스트하우스,제주특별자치도 제주시 한림읍 협재1길 27,한림읍 협재리 1689-1,010-7745-3555,https://instagram.com/donghaeng_in_hyeopjae,숙소
바오젠게스트하우스,게스트하우스,제주특별자치도 제주시 은남2길 41 3층,연동 272-37,010-3492-8582,http://blog.naver.com/world1ks,숙소
게으른소나기,게스트하우스,제주특별자치도 제주시 구좌읍 계룡길 45-6,구좌읍 한동리 1287-4,,http://pf.kakao.com/_xbfxbxcxb/52521520,숙소
서점숙소,게스트하우스,제주특별자치도 제주시 조천읍 북촌14길 13-12,조천읍 북촌리 283,010-7470-8823,https://blog.naver.com/jejubookhome,숙소
점보네게스트하우스,게스트하우스,제주특별자치도 제주시 용마서1길 36 3층,용담삼동 517-4,010-7217-0716,https://blog.naver.com/jumboairport/,숙소
협재정류장,게스트하우스,제주특별자치도 제주시 한림읍 한림로 391 1층,한림읍 협재리 1625,0507-1322-8968,https://url.kr/6x1ed8,숙소
머룬스테이,게스트하우스,제주특별자치도 제주시 구좌읍 세송로 74,구좌읍 세화리 689,,http://blog.naver.com/701sehwa,숙소
노마드인제주,게스트하우스,제주특별자치도 제주시 용마로4길 5 2층,용담삼동 519-11,010-7210-4362,http://www.instagram.com/nomadinn_jeju,숙소
제주도 조용한게스트하우스 산방산점,게스트하우스,제주특별자치도 서귀포시 안덕면 덕수회관로87번길 34,안덕면 덕수리 2328-1,010-5834-0010,http://blog.naver.com/jejog,숙소
후스토리게스트하우스,게스트하우스,제주특별자치도 서귀포시 색달중앙로 15-1,색달동 2534-7,010-6496-2534,,숙소
쉼드림게스트하우스,게스트하우스,제주특별자치도 제주시 원당로5길 12,삼양일동 1647-9,064-726-6652,https://cafe.naver.com/shymdream,숙소
카프리애월,게스트하우스,제주특별자치도 제주시 애월읍 애월로4길 18 1층,애월읍 애월리 2150-8,,,숙소
용스테이,게스트하우스,제주특별자치도 제주시 명주길 3,연동 2510,064-712-0075,,숙소
정원책방,게스트하우스,제주특별자치도 서귀포시 남원읍 원님로25번길 14,남원읍 의귀리 700-6,,http://m.blog.naver.com/bookshopmd,숙소
두베하우스,게스트하우스,제주특별자치도 제주시 구좌읍 상하도길 46-12,구좌읍 상도리 444,010-3591-6896,http://blog.naver.com/zzibi69,숙소
제주역게스트하우스,게스트하우스,제주특별자치도 제주시 한경면 노을해안로 1171 1층,한경면 고산리 3594-5,010-3386-6766,http://jejustationgh.modoo.at/,숙소
전망좋은게스트하우스,게스트하우스,제주특별자치도 서귀포시 성산읍 일출로 248 2층,성산읍 성산리 399-8,064-783-1568,,숙소
안녕함덕,게스트하우스,제주특별자치도 제주시 조천읍 함덕로 10,조천읍 함덕리 272-43,010-4484-8556,https://www.instagram.com/hihamdeok/,숙소
제주이티하우스,게스트하우스,제주특별자치도 제주시 애월읍 구엄4길 20-9,애월읍 구엄리 566-1,,http://blog.naver.com/jejuethouse,숙소
오름게스트하우스,게스트하우스,제주특별자치도 제주시 구좌읍 충렬로 147-19,구좌읍 세화리 1758-41,010-7757-2701,https://cafe.naver.com/jjgst,숙소
달숲하우스,게스트하우스,제주특별자치도 제주시 한림읍 명재로 35,한림읍 협재리 1319-1,010-3758-8750,http://www.dallsoophouse.com/,숙소
책닦는남자 북스테이,게스트하우스,제주특별자치도 제주시 구좌읍 한동북1길 34-6,구좌읍 한동리 1323,,http://blog.naver.com/74zzg,숙소
사랑각 게스트하우스,게스트하우스,제주특별자치도 제주시 조천읍 선화길 21,조천읍 선흘리 475-72,,http://blog.naver.com/saranggak_jejuhouse,숙소
쉬다가게,게스트하우스,제주특별자치도 서귀포시 안덕면 사계남로21번길 27,안덕면 사계리 2501-1,010-8706-3606,https://www.instagram.com/sheda1201/,숙소
성산에오거들랑 게스트하우스,게스트하우스,제주특별자치도 서귀포시 성산읍 고성동서로 13-7,성산읍 고성리 1410-9,064-784-2692,http://seongsanoh.com/,숙소
금능630게스트하우스,게스트하우스,제주특별자치도 제주시 한림읍 한림로 221,한림읍 금능리 2084-1,010-8980-8645,http://blog.naver.com/040601,숙소
봉스테이,게스트하우스,제주특별자치도 제주시 봉개대동10길 4,봉개동 1314-1,,https://bongstay.modoo.at/,숙소
언니네시골집 게스트하우스,게스트하우스,제주특별자치도 제주시 한경면 용수3길 38,한경면 용수리 4143-1,010-3365-9201,https://www.instagram.com/jeju_countryhouse/,숙소
마요피갤러리,게스트하우스,제주특별자치도 제주시 구좌읍 하도동길 27-38,구좌읍 하도리 513-5,010-2209-8760,https://mayopigallery.modoo.at/,숙소
연게스트하우스 애월협재점,게스트하우스,제주특별자치도 제주시 한림읍 일주서로 5673,한림읍 귀덕리 3769,010-4446-5673,http://blog.naver.com/mp741236,숙소
까사까미노,게스트하우스,제주특별자치도 제주시 조천읍 선진안길 21,조천읍 선흘리 1945-13,010-8358-5884,https://blog.naver.com/casa__camino,숙소
네이처트레일,게스트하우스,제주특별자치도 제주시 한림읍 홍수암로 30-5,한림읍 금능리 1842-6,,http://naturetrail.co.kr/,숙소
피크엔드,게스트하우스,제주특별자치도 제주시 서해안로 135 2층,도두일동 2539-1,010-8323-8624,https://www.instagram.com/peak.end,숙소
함덕사이,게스트하우스,제주특별자치도 제주시 조천읍 신북로 540-3,조천읍 함덕리 1002-42,010-5403-4292,https://www.instagram.com/hamdeok42/,숙소
고고애월게스트하우스,게스트하우스,"제주특별자치도 제주시 애월읍 애월해안로 56 1,2층",애월읍 애월리 1819-37,064-900-1088,https://blog.naver.com/bmwxy2000,숙소
두바퀴게스트하우스&펜션,게스트하우스,제주특별자치도 서귀포시 대정읍 도원로 89,대정읍 신도리 2580-1,064-773-2304,http://doobaqui.modoo.at/,숙소
히든스테이,게스트하우스,제주특별자치도 서귀포시 성산읍 성산중앙로40번길 12,성산읍 성산리 183-1,,https://blog.naver.com/hiddenstay_00,숙소
청춘게스트하우스,게스트하우스,제주특별자치도 서귀포시 이중섭로 31,서귀동 513-8,010-5852-4201,https://www.instagram.com/youth_guesthouse/,숙소
느영나영게스트하우스,게스트하우스,제주특별자치도 서귀포시 남원읍 신흥로13번길 23,남원읍 신흥리 168-8,064-764-5002,http://blog.naver.com/nuyounghouse,숙소
낯가림게스트하우스,게스트하우스,제주특별자치도 제주시 애월읍 애월로 130,애월읍 애월리 1639-2,010-5487-6422,https://www.instagram.com/not_garim_/,숙소
비아제주 카페엔스테이,게스트하우스,제주특별자치도 제주시 삼무로9길 11,연동 290-36,064-713-3911,http://www.viajeju.com/,숙소
김군아미고게스트하우스,게스트하우스,제주특별자치도 제주시 애월읍 애월해안로 670,애월읍 구엄리 1233,,https://gimgoonamigo.modoo.at/,숙소
올레5 게스트하우스,게스트하우스,제주특별자치도 서귀포시 남원읍 공천포로 137-5,남원읍 신례리 8-2,064-733-5455,http://www.olle5.co.kr/,숙소
스테이예스,게스트하우스,제주특별자치도 제주시 한경면 일주서로 4549,한경면 판포리 1703-5,010-2939-4549,https://www.instagram.com/stayyes_atpanpo/,숙소
하티게스트하우스,게스트하우스,제주특별자치도 제주시 한림읍 협재1길 39-5,한림읍 협재리 1682,010-6364-6006,http://hathiguesthouse.modoo.at/,숙소
이호웨이브,게스트하우스,"제주특별자치도 제주시 현사길 17-1 1,2층",이호일동 1769-7,010-9914-0793,https://www.instagram.com/jeju_ihowave_guesthouse,숙소
블랑게스트하우스,게스트하우스,제주특별자치도 서귀포시 표선면 표선관정로43번길 76-31,표선면 표선리 1821-1,010-6276-0766,http://blog.naver.com/blancinjeju,숙소
제주도게스트하우스파티 함비자,게스트하우스,제주특별자치도 제주시 조천읍 조함해안로 330-1 1층 101호,조천읍 신흥리 35-4,010-8403-3330,https://blog.naver.com/hambiza,숙소
제주숲게스트하우스,게스트하우스,제주특별자치도 서귀포시 남원읍 남조로 573-16,남원읍 수망리 335-7,064-764-7642,http://blog.naver.com/didenddl,숙소
